Searchword,API,URL,Title,Summary,Article,Title_Sentiment,Title_Positive,Title_Neutral,Title_Negative,Article_Sentiment,Article_Positive,Article_Neutral,Article_Negative,Verified,Language,Date,Source,NER,Topics
Morgan Stanley,Google API,https://newsnationusa.com/news/finance/stock-market/crowdstrike-stock-sinks-morgan-stanley-notes-increasing-competition/,b'CrowdStrike Stock Sinks. Morgan Stanley Notes Increasing Competition.',"b""Text size CrowdStrike's headquarters in Silicon Valley. Michael Vi/Dreamstime CrowdStrike traded sharply lower Monday after shares of the cybersecurity.""","b""Text size CrowdStrike's headquarters in Silicon Valley. Michael Vi/Dreamstime CrowdStrike traded sharply lower Monday after shares of the cybersecurity.""",neutral,0.06,0.8,0.14,negative,0.01,0.35,0.64,True,English,2021-11-28,newsnationusa.com,,
Morgan Stanley,Google API,https://pulse2.com/cisco-systems-nasdaq-csco-stock-59-price-target-from-morgan-stanley/,b'Cisco Systems (CSCO) Stock: $59 Price Target From Morgan Stanley',b'The shares of Cisco Systems Inc (NASDAQ: CSCO) have received a $59 price target from Morgan Stanley. These are the details.',b'The shares of Cisco Systems Inc (NASDAQ: CSCO) have received a $59 price target from Morgan Stanley. These are the details.',neutral,0.0,1.0,0.0,neutral,0.02,0.97,0.01,True,English,2021-11-28,pulse2.com,,
Morgan Stanley,Google API,https://www.cryptoglobe.com/latest/2021/11/shiba-inu-crypto-exchange-founded-by-former-morgan-stanley-senior-exec-lists-shib/,b'Shiba Inu: Crypto Exchange Founded by Former Morgan Stanley Senior Exec Lists $SHIB',b'',b'Shiba Inu: Crypto Exchange Founded by Former Morgan Stanley Senior Exec Lists $SHIB',neutral,0.0,1.0,0.0,neutral,0.0,1.0,0.0,True,English,2021-11-28,cryptoglobe.com,,
Morgan Stanley,Google API,https://www.livemint.com/news/world/merck-covid-pill-to-get-us-authorisation-despite-concerns-morgan-stanley-11638102841602.html,b'Merck Covid pill to get US authorisation despite concerns: Morgan Stanley',"b'While the pill data is a headwind, the safety concerns flagged by the FDA are largely in-line with expectations, keeping an equalweight rating on the stock,...'","b'While the pill data is a headwind, the safety concerns flagged by the FDA are largely in-line with expectations, keeping an equalweight rating on the stock,...'",neutral,0.08,0.54,0.38,negative,0.03,0.03,0.94,True,English,2021-11-28,livemint.com,,
Morgan Stanley,Google API,https://newsnationusa.com/news/finance/stock-market/plug-power-stock-surges-morgan-stanley-boosts-price-target-by-51/,b'Plug Power Stock Surges. Morgan Stanley Boosts Price Target by 51%.',b'Text size Alex Kraus/Bloomberg Shares of hydrogen fuel-cell technology Plug Power were rising sharply Friday after Morgan Stanley analyst Stephen Byrd.',b'Text size Alex Kraus/Bloomberg Shares of hydrogen fuel-cell technology Plug Power were rising sharply Friday after Morgan Stanley analyst Stephen Byrd.',positive,0.93,0.07,0.0,neutral,0.0,0.97,0.03,True,English,2021-11-28,newsnationusa.com,,
Morgan Stanley,Google API,https://etfdailynews.com/news/compass-group-loncpg-price-target-raised-to-gbx-1800-at-morgan-stanley/,b'Compass Group (LON:CPG) Price Target Raised to GBX 1800 at Morgan Stanley',"b'Compass Group (LON:CPG) had its price target increased by Morgan Stanley from GBX 1,750 ($22.86) to GBX 1,800 ($23.52) in a report released on Wednesday,...'","b'Compass Group (LON:CPG) had its price target increased by Morgan Stanley from GBX 1,750 ($22.86) to GBX 1,800 ($23.52) in a report released on Wednesday,...'",neutral,0.0,1.0,0.0,neutral,0.0,1.0,0.0,True,English,2021-11-28,etfdailynews.com,,
Morgan Stanley,Google API,https://energysiren.co.ke/2021/11/28/mergers-and-acquisitions-advisory-market-applications-trends-and-forecasts-to-2028-goldman-sachs-morgan-stanley-jp-morgan-citi/,"b'Mergers And Acquisitions Advisory Market Applications, Trends And Forecasts To 2028 | Goldman Sachs, Morgan ...'",b'Mergers And Acquisitions Advisory Market Research Report covers the present scenario and the growth prospects of Mergers And Acquisitions Advisory market...',b'Mergers And Acquisitions Advisory Market Research Report covers the present scenario and the growth prospects of Mergers And Acquisitions Advisory market...',neutral,0.01,0.99,0.0,neutral,0.13,0.85,0.02,True,English,2021-11-28,energysiren.co.ke,,
Morgan Stanley,Google API,https://etfdailynews.com/news/johnson-matthey-otcmktsjmply-stock-rating-lowered-by-morgan-stanley/,b'Johnson Matthey (OTCMKTS:JMPLY) Stock Rating Lowered by Morgan Stanley',b'Johnson Matthey (OTCMKTS:JMPLY) was downgraded by investment analysts at Morgan Stanley from an \xe2\x80\x9coverweight\xe2\x80\x9d rating to an \xe2\x80\x9cequal weight\xe2\x80\x9d rating in a...',b'Johnson Matthey (OTCMKTS:JMPLY) was downgraded by investment analysts at Morgan Stanley from an \xe2\x80\x9coverweight\xe2\x80\x9d rating to an \xe2\x80\x9cequal weight\xe2\x80\x9d rating in a...',neutral,0.01,0.99,0.0,negative,0.0,0.01,0.99,True,English,2021-11-28,etfdailynews.com,,
Morgan Stanley,Google API,https://etfdailynews.com/news/crh-nysecrh-stock-rating-reaffirmed-by-morgan-stanley/,b'CRH (NYSE:CRH) Stock Rating Reaffirmed by Morgan Stanley',"b""CRH (NYSE:CRH)'s stock had its \xe2\x80\x9cequal weight\xe2\x80\x9d rating reaffirmed by equities researchers at Morgan Stanley in a research report issued to clients and...""","b""CRH (NYSE:CRH)'s stock had its \xe2\x80\x9cequal weight\xe2\x80\x9d rating reaffirmed by equities researchers at Morgan Stanley in a research report issued to clients and...""",neutral,0.01,0.99,0.0,neutral,0.01,0.97,0.02,True,English,2021-11-28,etfdailynews.com,,
Morgan Stanley,Google API,https://etfdailynews.com/news/compass-group-otcmktscmpgy-receives-overweight-rating-from-morgan-stanley/,b'Compass Group (OTCMKTS:CMPGY) Receives \xe2\x80\x9cOverweight\xe2\x80\x9d Rating from Morgan Stanley',"b'Morgan Stanley reaffirmed their overweight rating on shares of Compass Group (OTCMKTS:CMPGY) in a report published on Wednesday, The Fly reports.'","b'Morgan Stanley reaffirmed their overweight rating on shares of Compass Group (OTCMKTS:CMPGY) in a report published on Wednesday, The Fly reports.'",negative,0.01,0.26,0.73,negative,0.01,0.27,0.72,True,English,2021-11-27,etfdailynews.com,,
