Searchword,API,URL,Title,Summary,Article,Title_Sentiment,Title_Positive,Title_Neutral,Title_Negative,Article_Sentiment,Article_Positive,Article_Neutral,Article_Negative,Verified,Language,Date,Source,NER,Topics
Bank of America,Google API,https://www.wsj.com/articles/two-ex-bank-of-america-traders-accused-of-spoofing-found-guilty-11628108362,b'Two Ex-Bank of America Traders Accused of Spoofing Found Guilty',b'Edward Bases and John Pacilio were convicted of rigging precious-metals prices after a criminal trial in Chicago. Bank of America agreed in 2019 to pay $25 ...',b'Edward Bases and John Pacilio were convicted of rigging precious-metals prices after a criminal trial in Chicago. Bank of America agreed in 2019 to pay $25 ...',negative,0.0,0.0,1.0,negative,0.01,0.04,0.95,True,English,2021-08-04,wsj.com,,
Bank of America,Google API,https://www.latimes.com/california/story/2021-08-07/suspect-arrested-in-killing-bank-of-america-executive,b'Suspect arrested in killing of prominent Bank of America executive',b'Los Angeles police have arrested a suspect in connection with the slaying of a prominent executive at Bank of America who was a champion in helping people ...',b'Los Angeles police have arrested a suspect in connection with the slaying of a prominent executive at Bank of America who was a champion in helping people ...',negative,0.0,0.0,1.0,negative,0.06,0.01,0.93,True,English,2021-08-07,latimes.com,,
Bank of America,Google API,https://cointelegraph.com/news/bank-of-america-outlines-4-potential-benefits-of-el-salvador-s-bitcoin-strategy,b'Bank of America outlines 4 potential benefits of El Salvador\xe2\x80\x99s Bitcoin strategy',"b""Bank of America, one of the nation's largest financial institutions based on total assets, believes El Salvador could have a lot to gain with its latest foray ...""","b""Bank of America, one of the nation's largest financial institutions based on total assets, believes El Salvador could have a lot to gain with its latest foray ...""",positive,0.53,0.42,0.05,positive,0.62,0.25,0.13,True,English,2021-08-01,cointelegraph.com,,
Bank of America,Google API,https://www.fool.com/investing/2021/08/04/bank-of-america-missed-revenue-estimates-should-in/,b'Bank of America Missed Revenue Estimates -- Should Investors Be Worried?',"b'But Bank of America had a rare miss, they missed revenue by about $200 million. But as you said, a lot of this was on the investment banking side, specifically ...'","b'But Bank of America had a rare miss, they missed revenue by about $200 million. But as you said, a lot of this was on the investment banking side, specifically ...'",negative,0.0,0.0,1.0,negative,0.01,0.01,0.98,True,English,2021-08-04,fool.com,,
Bank of America,Google API,https://finance.yahoo.com/news/85-deposits-now-made-digitally-130000143.html,b'85% of Deposits Now Made Digitally at Bank of America as Growth in Client Engagement with Digital Continues',"b'Today 85% of deposit transactions are being made through the Bank of America app, ATMs and other automated channels \xe2\x80\x93 driven by nearly 48 million checks ...'","b'Today 85% of deposit transactions are being made through the Bank of America app, ATMs and other automated channels \xe2\x80\x93 driven by nearly 48 million checks ...'",neutral,0.09,0.9,0.01,neutral,0.0,0.99,0.01,True,English,2021-08-05,finance.yahoo.com,,
Bank of America,Google API,https://www.cnbc.com/2021/08/02/bank-of-america-electric-car-stocks-and-more-to-trade-the-carbon-reduction-trend.html,b'Bank of America: Electric car stocks and more to trade the ...',b'Analysts from Bank of America have picked multiple European stocks to trade the trend of climate change mitigation that it says will soon be worth more than ...',b'Analysts from Bank of America have picked multiple European stocks to trade the trend of climate change mitigation that it says will soon be worth more than ...',neutral,0.03,0.95,0.02,neutral,0.06,0.84,0.1,True,English,2021-08-03,cnbc.com,,
Bank of America,Google API,https://www.americanbanker.com/news/bank-of-america-invests-314-million-in-new-york-green-bank,b'Bank of America invests $314 million in NY Green Bank',"b'... backer of sustainable infrastructure projects that previously relied only on public money, has received a $314 million investment from Bank of America.'","b'... backer of sustainable infrastructure projects that previously relied only on public money, has received a $314 million investment from Bank of America.'",neutral,0.0,1.0,0.0,neutral,0.03,0.72,0.25,True,English,2021-08-02,americanbanker.com,,
Bank of America,Google API,https://www.wcnc.com/article/sports/panthers-fan-fest-draws-biggest-crowd-to-bank-of-america-stadium-in-nearly-two-years/275-1aa3f462-05b3-44e4-85f3-4dbf357e54fb,b'Panthers Fan Fest draws biggest crowd to Bank of America Stadium in nearly two years',"b""This time, the Panthers say over 25,000 fans attended the team's practice at Bank of America Stadium. That would mark the biggest crowd by far to see the ...""","b""This time, the Panthers say over 25,000 fans attended the team's practice at Bank of America Stadium. That would mark the biggest crowd by far to see the ...""",neutral,0.12,0.86,0.02,neutral,0.03,0.93,0.04,True,English,2021-08-07,wcnc.com,,
Bank of America,Google API,https://www.entrepreneur.com/article/379259,"b'4 possible benefits of the adoption of bitcoin in El Salvador, according to Bank of America'","b'Analysts at Bank of America (BoA) , a US banking institution, believe that the ... of which Nayib Bukele , president of the Central American country, ...'","b'Analysts at Bank of America (BoA) , a US banking institution, believe that the ... of which Nayib Bukele , president of the Central American country, ...'",positive,0.53,0.46,0.01,neutral,0.05,0.92,0.03,True,English,2021-08-03,entrepreneur.com,,
Bank of America,PyNews API,http://techcrunch.com/2021/08/03/kenyas-wapi-pay-raises-2-2m-pre-seed-for-cross-border-payments-between-africa-and-asia/,b'Kenya\xe2\x80\x99s Wapi Pay raises $2.2M pre-seed for cross-border payments between Africa and Asia',"b'According to the World Bank, it is more expensive to send money to sub-Saharan African than to any region in the world. It is also the most expensive region to send money from. In Q1 2020, people spent an average of 8.9% to send money to the region, much high\xe2\x80\xa6'","b'According to the World Bank, it is more expensive to send money to sub-Saharan African than to any region in the world. It is also the most expensive region to send money from. In Q1 2020, people spent an average of 8.9% to send money to the region, much high\xe2\x80\xa6'",neutral,0.0,1.0,0.0,negative,0.0,0.0,1.0,True,English,2021-08-03,techcrunch.com,,
