Searchword,API,URL,Title,Summary,Article,Title_Sentiment,Title_Positive,Title_Neutral,Title_Negative,Article_Sentiment,Article_Positive,Article_Neutral,Article_Negative,Verified,Language,NER,Topics,Date,Source
Euroclear,Google API,https://ledgerinsights.com/liquidshare-bnp-paribas-euroclear-in-cbdc-trial-for-securities-settlement/,"b'Liquidshare, BNP Paribas, Euroclear in CBDC trial for ...'","b'Liquidshare, BNP Paribas, Euroclear in CBDC trial for securities settlement. July 5, 2021. by Ledger Insights. digital euro cbdc. Today ...'","b'Liquidshare, BNP Paribas, Euroclear in CBDC trial for securities settlement. July 5, 2021. by Ledger Insights. digital euro cbdc. Today ...'",neutral,0.03,0.95,0.02,neutral,0.05,0.93,0.02,True,English,"['Liquidshare', 'BNP Paribas', 'Euroclear', 'Liquidshare', 'BNP Paribas', 'Euroclear', 'Ledger Insights']","['BNP Paribas', 'CBDC trial', 'Liquidshare', 'Euroclear', 'BNP Paribas', 'CBDC trial', 'securities settlement', 'Ledger Insights', 'Liquidshare', 'Euroclear', 'July']",2021-07-05,ledgerinsights.com
Euroclear,Google API,https://www.globalcustodian.com/euroclear-bnp-paribas-and-societe-generale-involved-in-cbdc-settlement-experiment-with-french-central-bank/,"b'Euroclear, BNP Paribas and Societe Generale involved in ...'","b'Euroclear, BNP Paribas and Societe Generale involved in CBDC settlement experiment with French central bank. The experiment focused on the entire life cycle ...'","b'Euroclear, BNP Paribas and Societe Generale involved in CBDC settlement experiment with French central bank. The experiment focused on the entire life cycle ...'",neutral,0.02,0.97,0.01,neutral,0.01,0.98,0.01,True,English,"['Euroclear', 'BNP Paribas', 'Societe Generale', 'Euroclear', 'BNP Paribas', 'Societe Generale', 'French central bank']","['BNP Paribas', 'Societe Generale', 'Euroclear', 'French central bank', 'entire life cycle', 'CBDC settlement experiment', 'BNP Paribas', 'Societe Generale', 'Euroclear']",2021-07-08,globalcustodian.com
Euroclear,Google API,https://www.fitchratings.com/research/non-bank-financial-institutions/fitch-downgrades-euroclear-bank-to-aa-outlook-stable-09-07-2021,"b""Fitch Downgrades Euroclear Bank to 'AA'; Outlook Stable""","b""We continue to view Euroclear Bank's risk profile as very strong in a global context. KEY RATING DRIVERS. VR, IDR AND SENIOR DEBT RATINGS. Euroclear ...""","b""We continue to view Euroclear Bank's risk profile as very strong in a global context. KEY RATING DRIVERS. VR, IDR AND SENIOR DEBT RATINGS. Euroclear ...""",positive,0.56,0.4,0.04,negative,0.0,0.06,0.94,True,English,"['Fitch', 'Euroclear Bank', 'Euroclear Bank', 'Euroclear']","['Euroclear Bank', 'Outlook Stable', 'Fitch', 'AA', 'KEY RATING DRIVERS', 'SENIOR DEBT RATINGS', 'Euroclear Bank', 'risk profile', 'global context', 'VR', 'IDR']",2021-07-09,fitchratings.com
Euroclear,Google API,https://www.globalcustodian.com/euroclear-opens-foreign-investor-access-to-chilean-corporate-bonds/,b'Euroclear opens foreign investor access to Chilean corporate ...',b'Euroclear has opened a new channel for foreign investors to access Chilean corporate debt through its Euroclearable link with the country. It is the latest ...',b'Euroclear has opened a new channel for foreign investors to access Chilean corporate debt through its Euroclearable link with the country. It is the latest ...',neutral,0.02,0.93,0.05,negative,0.01,0.25,0.74,True,English,"['Euroclear', 'Euroclear']","['foreign investor access', 'Chilean corporate', 'Euroclear', 'Chilean corporate debt', 'new channel', 'foreign investors', 'Euroclearable link', 'country']",2021-07-05,globalcustodian.com
Euroclear,Google API,https://www.globalcustodian.com/citi-wins-fund-services-mandate-from-income-partners-in-hong-kong/,b'Citi wins fund services mandate from Income Partners in Hong ...',b'Euroclear opens foreign investor access to Chilean corporate bonds. The Brussels-based international CSD has opened new links with numerous emerging and ...',b'Euroclear opens foreign investor access to Chilean corporate bonds. The Brussels-based international CSD has opened new links with numerous emerging and ...',neutral,0.02,0.98,0.0,neutral,0.01,0.97,0.02,True,English,"['Citi', 'Income Partners', 'Euroclear', 'CSD']","['fund services mandate', 'Income Partners', 'Citi', 'Hong', 'The Brussels-based international CSD', 'foreign investor access', 'Chilean corporate bonds', 'new links', 'numerous emerging', 'Euroclear']",2021-07-05,globalcustodian.com
Euroclear,Google API,https://www.prnewswire.co.uk/news-releases/notice-to-the-extraordinary-general-meeting-of-citycon-oyj-824143460.html,b'Notice to the Extraordinary General Meeting of Citycon Oyj',"b""a. electronically by utilizing Euroclear's electronic general meeting service ... Proxy documents and advance voting forms should be delivered to Euroclear ...""","b""a. electronically by utilizing Euroclear's electronic general meeting service ... Proxy documents and advance voting forms should be delivered to Euroclear ...""",neutral,0.47,0.5,0.03,neutral,0.01,0.87,0.12,True,English,"['Euroclear', 'Euroclear']","['Extraordinary General Meeting', 'Citycon Oyj', 'Notice', 'general meeting service', 'advance voting forms', 'Proxy documents', 'Euroclear', 'electronic']",2021-07-08,prnewswire.co.uk
Euroclear,Google API,"https://news.cision.com/cellink-ab/r/notice-of-extraordinary-general-meeting-of-cellink-ab--publ-,c3381459",b'Notice of Extraordinary General Meeting of CELLINK AB (publ)',"b'firstly, be entered in the share register maintained by Euroclear Sweden AB no later than Thursday 29 July 2021 (for nominee-registered shares, also see ...'","b'firstly, be entered in the share register maintained by Euroclear Sweden AB no later than Thursday 29 July 2021 (for nominee-registered shares, also see ...'",neutral,0.47,0.51,0.02,neutral,0.03,0.91,0.06,True,English,"['CELLINK AB', 'Euroclear Sweden AB']","['Extraordinary General Meeting', 'CELLINK AB', 'Notice', 'Euroclear Sweden AB', 'share register', 'Thursday 29 July', 'nominee-registered shares']",2021-07-07,news.cision.com
Euroclear,Google API,https://www.globalcustodian.com/bnp-paribas-securities-services-loses-key-us-asset-manager-and-alternatives-segment-head/,b'BNP Paribas Securities Services loses key US asset manager ...',"b'Euroclear, BNP Paribas and Societe Generale involved in CBDC settlement experiment with French central bank. The experiment focused on the entire life cycle ...'","b'Euroclear, BNP Paribas and Societe Generale involved in CBDC settlement experiment with French central bank. The experiment focused on the entire life cycle ...'",negative,0.02,0.05,0.93,neutral,0.01,0.98,0.01,True,English,"['BNP Paribas Securities Services', 'Euroclear', 'BNP Paribas', 'Societe Generale', 'French central bank']","['BNP Paribas Securities Services', 'key US asset manager', 'French central bank', 'entire life cycle', 'CBDC settlement experiment', 'BNP Paribas', 'Societe Generale', 'Euroclear']",2021-07-08,globalcustodian.com
Euroclear,Google API,https://forkast.news/how-blockchain-disrupt-capital-markets/,b'How Is Blockchain Going To Disrupt Capital Markets?',"b'Euroclear settled over US$1.06 quadrillion in securities transactions (6.7% increase over 2019). So what does this have to do with blockchain? Over the decades, ...'","b'Euroclear settled over US$1.06 quadrillion in securities transactions (6.7% increase over 2019). So what does this have to do with blockchain? Over the decades, ...'",negative,0.01,0.16,0.83,neutral,0.05,0.93,0.02,True,English,['Euroclear'],"['Capital Markets', 'Blockchain', 'securities transactions', 'Euroclear', 'US', 'blockchain', 'decades']",2021-07-08,forkast.news
Euroclear,Google API,https://www.nasdaq.com/articles/japans-cbdc-to-get-a-clearer-picture-by-2022-says-government-official%3A-report-2021-07-05,b'Japan\xe2\x80\x99s CBDC to Get a Clearer Picture by 2022 Says Government Official: Report',"b'Related: Bank of France Carries Out Fifth CBDC Experiment With BNP Paribas, Euroclear. Murai said commercial banks would stand to benefit from a shift back ...'","b'Related: Bank of France Carries Out Fifth CBDC Experiment With BNP Paribas, Euroclear. Murai said commercial banks would stand to benefit from a shift back ...'",neutral,0.01,0.97,0.02,negative,0.28,0.02,0.7,True,English,"['CBDC', 'Bank of France', 'BNP Paribas', 'Euroclear']","['Clearer Picture', 'Japan', 'CBDC', 'Government', 'Official', 'Report', '2022', 'Fifth CBDC Experiment', 'BNP Paribas', 'commercial banks', 'France', 'Euroclear', 'Murai', 'shift']",2021-07-05,nasdaq.com
