Searchword,API,URL,Title,Summary,Article,Title_Sentiment,Title_Positive,Title_Neutral,Title_Negative,Article_Sentiment,Article_Positive,Article_Neutral,Article_Negative,Verified,Language,Date,Source,NER,Topics
London Stock Exchange,Google API,https://simplywall.st/stocks/gb/diversified-financials/lse-lseg/london-stock-exchange-group-shares/news/what-kind-of-shareholders-hold-the-majority-in-london-stock,"b""What Kind Of Shareholders Hold The Majority In London Stock Exchange Group plc's (LON:LSEG) Shares?""","b""If you want to know who really controls London Stock Exchange Group plc ( LON:LSEG ), then you'll have to look at the...""","b""If you want to know who really controls London Stock Exchange Group plc ( LON:LSEG ), then you'll have to look at the...""",neutral,0.01,0.99,0.0,neutral,0.08,0.9,0.02,True,English,2021-11-21,simplywall.st,,
London Stock Exchange,Google API,https://simpleflying.com/ryanair-london-brexit/,b'Ryanair Will Quit London Stock Exchange To Follow Brexit Rules',b'Irish low-cost carrier Ryanair has decided to delist itself from the London stock exchange to comply with European Union rules following Brexit.',b'Irish low-cost carrier Ryanair has decided to delist itself from the London stock exchange to comply with European Union rules following Brexit.',neutral,0.03,0.63,0.34,neutral,0.02,0.95,0.03,True,English,2021-11-20,simpleflying.com,,
London Stock Exchange,Google API,https://www.latestly.com/socially/world/ryanair-said-the-last-day-of-trading-of-its-shares-on-the-london-stock-exchange-would-be-latest-tweet-by-reuters-3073275.html,b'Ryanair Said the Last Day of Trading of Its Shares on the London Stock Exchange Would Be ... - Latest Tweet',"b""The latest Tweet by Reuters states, 'Ryanair said the last day of trading of its shares on the London Stock Exchange would be December 17.""","b""The latest Tweet by Reuters states, 'Ryanair said the last day of trading of its shares on the London Stock Exchange would be December 17.""",neutral,0.01,0.94,0.05,neutral,0.01,0.93,0.06,True,English,2021-11-20,latestly.com,,
London Stock Exchange,Google API,https://www.fxempire.com/news/article/commodity-stocks-strong-retail-sales-data-boost-uk-shares-814326,"b'British shares log weekly loss as commodity, travel stocks weigh'","b""(Reuters) - London's FTSE 100 rose on Friday after a three-day slump, driven by commodity stocks and better-than-expected retail sales data that helped...""","b""(Reuters) - London's FTSE 100 rose on Friday after a three-day slump, driven by commodity stocks and better-than-expected retail sales data that helped...""",neutral,0.01,0.96,0.03,neutral,0.44,0.51,0.05,True,English,2021-11-20,fxempire.com,,
London Stock Exchange,Google API,https://www.thetimes.co.uk/article/final-call-as-ryanair-departs-from-london-stock-market-r8nbzwsqw,b'Final call as Ryanair departs from London stock market',b'',b'Final call as Ryanair departs from London stock market',neutral,0.08,0.88,0.04,neutral,0.08,0.88,0.04,True,English,2021-11-20,thetimes.co.uk,,
London Stock Exchange,Google API,https://www.latestly.com/socially/world/ryanair-gave-notice-of-its-intention-to-delist-from-the-london-stock-exchange-next-month-latest-tweet-by-reuters-2-3073002.html,b'Ryanair Gave Notice of Its Intention to Delist from the London Stock Exchange Next Month ... - Latest Tweet',"b""The latest Tweet by Reuters states, 'Ryanair gave notice of its intention to delist from the London Stock Exchange next month due to a fall in trading...""","b""The latest Tweet by Reuters states, 'Ryanair gave notice of its intention to delist from the London Stock Exchange next month due to a fall in trading...""",neutral,0.03,0.74,0.23,neutral,0.02,0.69,0.29,True,English,2021-11-20,latestly.com,,
London Stock Exchange,Google API,https://www.businesstimes.com.sg/companies-markets/ryanair-drops-london-listing-over-brexit-compliance-hassles,b'Ryanair drops London listing over Brexit compliance hassles',"b'IRISH discount carrier Ryanair Holdings said it will drop its London Stock Exchange (LSE) listing, becoming the first major company to blame its departure...'","b'IRISH discount carrier Ryanair Holdings said it will drop its London Stock Exchange (LSE) listing, becoming the first major company to blame its departure...'",neutral,0.01,0.98,0.01,negative,0.0,0.09,0.91,True,English,2021-11-19,businesstimes.com.sg,,
London Stock Exchange,PyNews API,https://www.reuters.com/article/ryanair-lse-listing-idUSKBN2I40GZ,b'Irish airline Ryanair finalises delisting from London Stock Exchange - Reuters',"b""Irish budget airline Ryanair said on Friday it had moved a request with Britain's financial watchdog to delist from the London Stock Exchange, after having announced plans earlier this month due to a fall in trading volumes there.""","b""Irish budget airline Ryanair said on Friday it had moved a request with Britain's financial watchdog to delist from the London Stock Exchange, after having announced plans earlier this month due to a fall in trading volumes there.""",neutral,0.01,0.99,0.0,neutral,0.07,0.73,0.2,True,English,2021-11-19,reuters.com,,
London Stock Exchange,PyNews API,https://amp.theguardian.com/business/2021/nov/19/ryanair-to-quit-london-stock-exchange-in-december-over-brexit,b'Ryanair to quit London Stock Exchange in December over Brexit',b'Foreign ownership and control rules behind airline\xe2\x80\x99s decision to become solely listed in DublinRyanair is pressing ahead with plans to delist from the London Stock Exchange because of foreign ownership and control rules that apply because of Brexit.The low-co\xe2\x80\xa6',b'Foreign ownership and control rules behind airline\xe2\x80\x99s decision to become solely listed in DublinRyanair is pressing ahead with plans to delist from the London Stock Exchange because of foreign ownership and control rules that apply because of Brexit.The low-co\xe2\x80\xa6',neutral,0.04,0.52,0.44,neutral,0.0,0.84,0.16,True,English,2021-11-19,amp.theguardian.com,,
London Stock Exchange,PyNews API,https://www.reuters.com/business/energy/all-eyes-china-lme-copper-spreads-collapse-andy-home-2021-11-17/,b'Column: All eyes on China as LME copper spreads collapse: Andy Home - Reuters',"b'Calm has returned to the London Metal Exchange (LME) copper market after last month\'s storm, which forced the exchange to step in <a href=""-metal-exchange-has-restrain-disorderly-copper-andy-home-2021-10-21"" targe\xe2\x80\xa6'","b'Calm has returned to the London Metal Exchange (LME) copper market after last month\'s storm, which forced the exchange to step in <a href=""-metal-exchange-has-restrain-disorderly-copper-andy-home-2021-10-21"" targe\xe2\x80\xa6'",negative,0.0,0.18,0.82,negative,0.33,0.19,0.48,True,English,2021-11-19,reuters.com,,
