Searchword,API,URL,Title,Summary,Article,Title_Sentiment,Title_Positive,Title_Neutral,Title_Negative,Article_Sentiment,Article_Positive,Article_Neutral,Article_Negative,Verified,Language,Date,Source,NER,Topics
Citigroup,Google API,https://liverpoolstudentmedia.com/uk/447727/global-trade-finance-market-expected-to-reach-highest-cagr-by-2026-citigroup-inc-bnp-paribas-icbc-china-exim-bank-jpmorgan-chase-co-etc/,"b'Global Trade Finance Market Expected To Reach Highest CAGR By 2026: Citigroup Inc, BNP Paribas, ICBC, China ...'",b'\xef\xbb\xbfIntroduction: This report is created for the benefit of strategic planners who seek in-depth study of the Global Trade Finance Market .',b'\xef\xbb\xbfIntroduction: This report is created for the benefit of strategic planners who seek in-depth study of the Global Trade Finance Market .',neutral,0.0,1.0,0.0,neutral,0.07,0.93,0.0,True,English,2021-11-14,liverpoolstudentmedia.com,,
Citigroup,Google API,https://liverpoolstudentmedia.com/news/447091/global-retail-banking-market-expected-to-reach-highest-cagr-by-2026-bnp-paribas-citigroup-hsbc-icbc-jpmorgan-chase-etc/,"b'Global Retail Banking Market Expected To Reach Highest CAGR By 2026: BNP Paribas, Citigroup, HSBC, ICBC ...'",b'\xef\xbb\xbfIntroduction: This report is created for the benefit of strategic planners who seek in-depth study of the Global Retail Banking Market .',b'\xef\xbb\xbfIntroduction: This report is created for the benefit of strategic planners who seek in-depth study of the Global Retail Banking Market .',neutral,0.0,1.0,0.0,neutral,0.07,0.93,0.0,True,English,2021-11-14,liverpoolstudentmedia.com,,
Citigroup,Google API,https://www.cryptopolitan.com/vikram-pandit-banks-will-embrace-crypto/,b'Vikram Pandit: Banks will embrace cryptocurrency in 3 years',"b'Ex-Chief executive officer of Citigroup Vikram Pandit has a lot of faith in crypto. During the Singapore Fintech Festival, he painted a picture of.'","b'Ex-Chief executive officer of Citigroup Vikram Pandit has a lot of faith in crypto. During the Singapore Fintech Festival, he painted a picture of.'",neutral,0.06,0.94,0.0,positive,0.82,0.16,0.02,True,English,2021-11-14,cryptopolitan.com,,
Citigroup,Google API,https://www.bollyinside.com/news/all-big-banks-will-actively-consider-cryptocurrencies-in-1-3-years-says-former-citi-ceo-bitcoin-news-regulation,"b'All Big Banks Will Actively Consider Cryptocurrencies In 1-3 Years, Says Former Citi CEO - Bitcoin News Regulation'","b'Indian-American banker Vikram Pandit, a former CEO of Citigroup, talked about the outlook for cryptocurrency and central bank digital currencies (CBDCs)'","b'Indian-American banker Vikram Pandit, a former CEO of Citigroup, talked about the outlook for cryptocurrency and central bank digital currencies (CBDCs)'",neutral,0.01,0.97,0.02,neutral,0.0,1.0,0.0,True,English,2021-11-14,bollyinside.com,,
Citigroup,Google API,https://news.bitcoin.com/every-large-bank-actively-consider-crypto-1-3-years-former-citi-ceo/,"b'Every Large Bank Will Actively Consider Crypto in 1-3 Years, Says Former Citi CEO \xe2\x80\x93 Regulation Bitcoin News'",b'A former CEO of Citigroup said that every major bank and securities firm will consider crypto trading or services within one to three years.',b'A former CEO of Citigroup said that every major bank and securities firm will consider crypto trading or services within one to three years.',neutral,0.01,0.97,0.02,neutral,0.02,0.97,0.01,True,English,2021-11-14,news.bitcoin.com,,
Citigroup,Google API,https://cfxmagazine.com/every-large-bank-will-actively-consider-crypto-in-1-3-years-says-former-citi-ceo-regulation-bitcoin-news/,"b'Every Large Bank Will Actively Consider Crypto in 1-3 Years, Says Former Citi CEO \xe2\x80\x93 Regulation Bitcoin News - CFX ...'",b'An ex-CEO of Citigroup claimed that all major banks and securities firms will soon be open to crypto trading. He is also hopeful that digital currencies...',b'An ex-CEO of Citigroup claimed that all major banks and securities firms will soon be open to crypto trading. He is also hopeful that digital currencies...',neutral,0.01,0.97,0.02,neutral,0.12,0.79,0.09,True,English,2021-11-14,cfxmagazine.com,,
Citigroup,Google API,https://liverpoolstudentmedia.com/electric-vehicles/405424/mutual-fund-assets-market-top-players-analysis-blackrock-inc-bnp-paribas-mutual-fund-capital-group-citigroup-inc-goldman-sachs-jpmorgan-chase-co-morgan-stanley-pimco-state-street-co/,"b'Mutual Fund Assets Market Top Players Analysis: BlackRock, Inc., BNP Paribas Mutual Fund, Capital Group, Citigroup ...'",b'\xef\xbb\xbfThe key objective of the Mutual Fund Assets market report is to study the economic prospects of Mutual Fund Assets market across countries.',b'\xef\xbb\xbfThe key objective of the Mutual Fund Assets market report is to study the economic prospects of Mutual Fund Assets market across countries.',neutral,0.01,0.99,0.0,neutral,0.02,0.98,0.0,True,English,2021-11-13,liverpoolstudentmedia.com,,
Citigroup,PyNews API,https://www.forbes.com/sites/greatspeculations/2021/11/12/citigroup-stock-is-attractive-at-68/,b'Citigroup Stock Is Attractive At $68',"b'Citigroup stock has gained 11% YTD, which is significantly lower than the 24% rise in the S&P500 over the same period. The stock is currently trading at $68 per share and has a potential upside of 24% to its fair value of $84 \xe2\x80\x93 Trefis\xe2\x80\x99 estimate for Citigroup\xe2\x80\x99\xe2\x80\xa6'","b'Citigroup stock has gained 11% YTD, which is significantly lower than the 24% rise in the S&P500 over the same period. The stock is currently trading at $68 per share and has a potential upside of 24% to its fair value of $84 \xe2\x80\x93 Trefis\xe2\x80\x99 estimate for Citigroup\xe2\x80\x99\xe2\x80\xa6'",positive,0.93,0.06,0.01,positive,0.63,0.35,0.02,True,English,2021-11-10,forbes.com,,
Citigroup,PyNews API,https://www.marketwatch.com/story/gold-continues-to-surge-after-inflation-shock-but-citi-says-it-may-be-a-winter-bull-market-at-best-11636622791,"b'Metals Stocks: Gold continues to surge after inflation shock, but Citi says it may be a winter bull market at best'","b'Gold prices setting up for another strong session on Thursday, but Citibank argues the gains may not last beyond a few months.'","b'Gold prices continued to surge on Thursday, following hotter-than-expected U.S. inflation, but Citigroup strategists were warning that fresh momentum for the precious metal may not last beyond winter\xe2\x80\xa6 [+2476 chars]'",negative,0.01,0.07,0.92,negative,0.26,0.05,0.69,True,English,2021-11-10,marketwatch.com,,
Citigroup,PyNews API,https://finance.yahoo.com/news/jpmorgan-citigroup-slice-21-million-043130662.html,"b'JPMorgan, Citigroup to Get Slice of $21 Million Saudi IPO Fee'",b'(Bloomberg) -- Lenders and advisers including JPMorgan Chase & Co. and Citigroup Inc. are expected to share $21 million in fees from the Saudi stock...',"b'Top oil exporter Saudi Arabia has raised the price differential of its flagship crude to Asia by more than double in December versus November, exceeding market expectations and sending a bullish sign\xe2\x80\xa6 [+552 chars]'",negative,0.01,0.12,0.87,negative,0.01,0.48,0.51,True,English,2021-11-10,finance.yahoo.com,,
