Searchword,Searchword_ID,API,URL,Title,Summary,Article,Title_Sentiment,Title_Positive,Title_Neutral,Title_Negative,Article_Sentiment,Article_Positive,Article_Neutral,Article_Negative,Verified,Language,NER,Topics,Date,Source,key
BNP Paribas,1,Google API,https://www.investmentweek.co.uk/news/4032355/bnp-paribas-launches-ecosystem-restoration-fund,BNP Paribas launches Ecosystem Restoration fund,"BNP Paribas Asset Management (BNPP AM) has launched an Ecosystem Restoration fund, which invests in companies proactively trying to improve biodiversity ...","BNP Paribas Asset Management (BNPP AM) has launched an Ecosystem Restoration fund, which invests in companies proactively trying to improve biodiversity ...",neutral,0.01,0.99,0.0,positive,0.49,0.49,0.02,True,English,"['BNP Paribas', 'BNP Paribas Asset Management', 'BNPP AM']","['Ecosystem Restoration fund', 'BNP Paribas', 'BNP Paribas Asset Management', 'Ecosystem Restoration fund', 'BNPP AM', 'companies', 'biodiversity']",2021-06-07,investmentweek.co.uk,LCH SA
BNP Paribas,1,Google API,https://www.finextra.com/pressarticle/87876/bnp-paribas-and-solar-impulse-launch-an-investment-fund-dedicated-to-clean-tech-startups,BNP Paribas and Solar Impulse launch an investment fund ...,"BNP Paribas and the Solar Impulse Foundation, created by Bertrand Piccard, are launching a new investment fund dedicated to supporting clean tech, innovative ...","BNP Paribas and the Solar Impulse Foundation, created by Bertrand Piccard, are launching a new investment fund dedicated to supporting clean tech, innovative ...",neutral,0.01,0.99,0.0,neutral,0.09,0.91,0.0,True,English,"['BNP Paribas', 'Solar Impulse', 'BNP Paribas', 'Solar Impulse Foundation']","['BNP Paribas', 'Solar Impulse', 'investment fund', 'Solar Impulse Foundation', 'new investment fund', 'clean tech, innovative ...', 'BNP Paribas', 'Bertrand Piccard']",2021-06-02,finextra.com,LCH SA
BNP Paribas,1,Google API,https://www.taxscan.in/ca-vacancy-in-bnp-paribas/116874/,CA vacancy in BNP Paribas,The BNP Paribas has invited applications for the post of Associate Level 1 -Financial Accounting and Reporting. BNP Paribas is a top-ranking bank in Europe ...,The BNP Paribas has invited applications for the post of Associate Level 1 -Financial Accounting and Reporting. BNP Paribas is a top-ranking bank in Europe ...,neutral,0.03,0.95,0.02,neutral,0.01,0.99,0.0,True,English,"['BNP Paribas', 'BNP Paribas', 'BNP Paribas']","['CA vacancy', 'BNP Paribas', 'The BNP Paribas', 'Financial Accounting', 'top-ranking bank', 'applications', 'post', 'Reporting', 'Europe']",2021-06-01,taxscan.in,LCH SA
BNP Paribas,1,Google API,https://investors-corner.bnpparibas-am.com/investing/how-can-stewardship-help-tackle-biodiversity-loss-video/,How can stewardship help tackle biodiversity loss? (video ...,"As an investor, BNP Paribas Asset Management believes it cannot address one without considering the other in conversations with the companies we invest in ...","As an investor, BNP Paribas Asset Management believes it cannot address one without considering the other in conversations with the companies we invest in ...",neutral,0.2,0.78,0.02,neutral,0.18,0.67,0.15,True,English,['BNP Paribas Asset Management'],"['biodiversity loss', 'stewardship', 'video', 'BNP Paribas Asset Management', 'investor', 'conversations', 'companies']",2021-06-02,investors-corner.bnpparibas-am.com,LCH SA
BNP Paribas,1,Google API,https://www.digitaljournal.com/pr/trade-finance-market-to-see-huge-growth-by-2026-bnp-paribas-bank-of-china-citigroup-china-exim-bank,Trade Finance Market to See Huge Growth by 2026 | BNP ...,"Some of the key players profiled in the study are BNP Paribas, Bank of China, Citigroup Inc, China Exim Bank, ICBC, JPMorgan Chase & Co, Mizuho Financial ...","Some of the key players profiled in the study are BNP Paribas, Bank of China, Citigroup Inc, China Exim Bank, ICBC, JPMorgan Chase & Co, Mizuho Financial ...",positive,0.68,0.31,0.01,neutral,0.01,0.99,0.0,True,English,"['BNP', 'BNP Paribas', 'Bank of China', 'Citigroup Inc', 'China Exim Bank', 'ICBC', 'JPMorgan Chase & Co', 'Mizuho Financial']","['Trade Finance Market', 'Huge Growth', 'BNP', 'China Exim Bank', 'key players', 'BNP Paribas', 'Citigroup Inc', 'JPMorgan Chase', 'Mizuho Financial', 'study', 'ICBC', 'Co']",2021-06-05,digitaljournal.com,LCH SA
BNP Paribas,1,Google API,https://investors-corner.bnpparibas-am.com/economics/china-in-the-global-inflation-scare/,China in the global inflation scare - Investors' Corner ...,BNP AM. The official blog of BNP Paribas Asset Management. 0 items. Search. English · French · German · Home · Markets · Economics · Investing · Our authors ...,BNP AM. The official blog of BNP Paribas Asset Management. 0 items. Search. English · French · German · Home · Markets · Economics · Investing · Our authors ...,negative,0.0,0.01,0.99,neutral,0.07,0.9,0.03,True,English,"['Investors', 'BNP AM', 'BNP Paribas Asset Management']","['global inflation scare', 'China', 'Investors', 'Corner', 'BNP Paribas Asset Management', 'BNP AM', 'official blog', '0 items', 'Search', 'English', 'French', 'Home', 'Markets', 'Economics', 'Investing', 'authors']",2021-06-02,investors-corner.bnpparibas-am.com,LCH SA
BNP Paribas,1,PyNews API,https://www.jornaldenegocios.pt/multimedia/negocios-tv/detalhe/bnp-paribas-sustainable-finance--noticia-negocios,BNP Paribas Sustainable Finance | Noticia Negócios,"A segunda talk da série SustainableFinance com Carolina F Silva, Head of Sustainable Finance Markets no BNP Paribas CIB e Francisco Moreira, Head of Corporate Coverage no BNP Paribas CIB.","A segunda talk da série SustainableFinance com Carolina F Silva, Head of Sustainable Finance Markets no BNP Paribas CIB e Francisco Moreira, Head of Corporate Coverage no BNP Paribas CIB.",neutral,0.02,0.98,0.0,neutral,0.0,1.0,0.0,True,English,"['BNP Paribas Sustainable Finance', 'BNP Paribas CIB', 'BNP Paribas CIB']","['BNP Paribas Sustainable Finance', 'Noticia Negócios', 'Carolina F Silva', 'Sustainable Finance Markets', 'BNP Paribas CIB', 'segunda talk', 'série', 'Francisco Moreira', 'Corporate Coverage', 'SustainableFinance', 'Head']",2021-06-01,jornaldenegocios.pt,LCH SA
BNP Paribas,1,PyNews API,https://www.jornaldenegocios.pt/multimedia/negocios-tv/detalhe/20210602-1835-bnp-paribas-sustainable-finance--noticia-negocios,BNP Paribas Sustainable Finance | Noticia Negócios,"A segunda talk da série SustainableFinance com Catarina F Silva, Head of Sustainable Finance Markets no BNP Paribas CIB e Francisco Moreira, Head of Corporate Coverage no BNP Paribas CIB.","A segunda talk da série SustainableFinance com Catarina F Silva, Head of Sustainable Finance Markets no BNP Paribas CIB e Francisco Moreira, Head of Corporate Coverage no BNP Paribas CIB.",neutral,0.02,0.98,0.0,neutral,0.0,1.0,0.0,True,English,"['BNP Paribas Sustainable Finance', 'BNP Paribas CIB', 'BNP Paribas CIB']","['BNP Paribas Sustainable Finance', 'Noticia Negócios', 'Catarina F Silva', 'Sustainable Finance Markets', 'BNP Paribas CIB', 'segunda talk', 'série', 'Francisco Moreira', 'Corporate Coverage', 'SustainableFinance', 'Head']",2021-06-02,jornaldenegocios.pt,LCH SA
BNP Paribas,1,PyNews API,https://www.businesswire.com/news/home/20210602005709/en/SES-Statement-of-transactions-in-own-shares-from-May-24-2021-to-May-28-2021,"SES: Statement of transactions in own shares from May 24, 2021 to May 28, 2021","LUXEMBOURG--(BUSINESS WIRE)-- Statement of transactions in own shares from May 24, 2021 to May 28, 2021 EXANE BNP PARIBAS Aggregated presentation by day and by market Name of issuer Identification code of issuer (Legal Entity Identifier) Day of transacti…","LUXEMBOURG--(BUSINESS WIRE)-- <table><tr><td>Statement of transactions in own shares from May 24, 2021 to May 28, 2021</td><td>EXANE BNP PARIBAS</td></tr><tr><td></td><td></td><td></td><td></td><td… [+520002 chars]",neutral,0.0,0.99,0.01,neutral,0.0,0.95,0.05,True,English,"['BUSINESS WIRE', 'EXANE BNP PARIBAS']","['SES', 'Statement', 'transactions', 'shares', 'May', 'EXANE BNP PARIBAS', 'BUSINESS WIRE', 'LUXEMBOURG', 'Statement', 'transactions', 'shares', 'May', '520002 chars']",2021-06-02,businesswire.com,LCH SA
BNP Paribas,1,Bing API,https://investchronicle.com/2021/06/07/gear-up-for-the-change-the-mosaic-company-mos-has-hit-the-volume-of-9877492/,Gear up for the change! The Mosaic Company (MOS) has hit the volume of 9877492,"Vice President Global Strategic Marketing will be participating in a fireside chat as part of the Exane BNP Paribas 23rd European Virtual Conference on Monday, June 7, 2021 at 11:00am ET. You can read further details here 5 Stocks Under $10 That Are Poised ...","Vice President Global Strategic Marketing will be participating in a fireside chat as part of the Exane BNP Paribas 23rd European Virtual Conference on Monday, June 7, 2021 at 11:00am ET. You can read further details here 5 Stocks Under $10 That Are Poised ...",neutral,0.2,0.79,0.01,neutral,0.0,0.99,0.01,True,English,"['Mosaic Company', 'MOS', 'Exane BNP Paribas']","['The Mosaic Company', 'change', 'volume', 'Exane BNP Paribas 23rd European Virtual Conference', 'Vice President Global Strategic Marketing', 'fireside chat', 'part', 'Monday', 'June', '11:00am', 'details', '5 Stocks']",2021-06-07,investchronicle.com,LCH SA
