Searchword,API,URL,Title,Summary,Article,Title_Sentiment,Title_Positive,Title_Neutral,Title_Negative,Article_Sentiment,Article_Positive,Article_Neutral,Article_Negative,Verified,Language,NER,Topics,Date,Source
LCH SA,Google API,https://www.thetradenews.com/lch-sa-connects-equityclear-to-cboe-and-aquis-exchange-europe/,b'LCH SA connects EquityClear to Cboe and Aquis Exchange ...',b'3 days ago',b'3 days ago',neutral,0.05,0.93,0.02,neutral,0.03,0.89,0.08,True,English,"['LCH SA', 'EquityClear', 'Cboe', 'Aquis Exchange']","['LCH SA', 'Aquis Exchange', 'EquityClear', 'Cboe']",,thetradenews.com
LCH SA,Bing API,https://www.thetradenews.com/lch-sa-connects-equityclear-to-cboe-and-aquis-exchange-europe/,b'LCH SA connects EquityClear to Cboe and Aquis Exchange Europe',b'Additional routes to clear European equities will offer users increased margining and settlement netting efficiencies.',b'Additional routes to clear European equities will offer users increased margining and settlement netting efficiencies.',neutral,0.04,0.95,0.01,neutral,0.02,0.98,0.0,True,English,"['LCH SA', 'EquityClear', 'Cboe', 'Aquis Exchange Europe']","['Aquis Exchange Europe', 'LCH SA', 'EquityClear', 'Cboe', 'settlement netting efficiencies', 'Additional routes', 'European equities', 'users', 'margining']",2022-02-24,thetradenews.com
LCH SA,Twitter API,Twitter,"b""LCH SA Connects New Trading Venues to Expand European Equities OfferingThe 'preferred CCP' clearing model allows\xe2\x80\xa6""",b'nan',"b""LCH SA Connects New Trading Venues to Expand European Equities OfferingThe 'preferred CCP' clearing model allows\xe2\x80\xa6""",neutral,0.06,0.94,0.0,neutral,0.06,0.94,0.0,True,English,"['LCH SA', 'LCH SA']","[""preferred CCP' clearing model"", 'New Trading Venues', 'LCH SA', 'European Equities', ""preferred CCP' clearing model"", 'New Trading Venues', 'LCH SA', 'European Equities']",2022-02-25,Unknown
LCH SA,Twitter API,Twitter,b'Jelenaaa_dz najwa_lch 7creole amira93330 inassehobk ry2kaa sa t\xe2\x80\x99amuse ?',b'nan',b'Jelenaaa_dz najwa_lch 7creole amira93330 inassehobk ry2kaa sa t\xe2\x80\x99amuse ?',positive,0.6,0.36,0.04,positive,0.6,0.36,0.04,True,English,[],"['lch 7creole amira93330 inassehobk ry2kaa', 'Jelenaaa', 'amuse', 'lch 7creole amira93330 inassehobk ry2kaa', 'Jelenaaa', 'amuse']",2022-02-25,Unknown
LCH SA,Twitter API,Twitter,b'LCH SA Expands Connections to European Equities Venues',b'nan',b'LCH SA Expands Connections to European Equities Venues',neutral,0.05,0.93,0.02,neutral,0.05,0.93,0.02,True,English,"['LCH SA', 'LCH SA']","['European Equities Venues', 'LCH SA', 'Connections', 'European Equities Venues', 'LCH SA', 'Connections']",2022-02-25,Unknown
LCH SA,Twitter API,Twitter,b'Release: LCH SA Further Expands European Equities Offering with Connections to New Trading Venues',b'nan',b'Release: LCH SA Further Expands European Equities Offering with Connections to New Trading Venues',neutral,0.01,0.98,0.01,neutral,0.01,0.98,0.01,True,English,"['LCH SA', 'LCH SA']","['European Equities Offering', 'New Trading Venues', 'LCH SA', 'Release', 'Connections', 'European Equities Offering', 'New Trading Venues', 'LCH SA', 'Release', 'Connections']",2022-02-24,Unknown
LCH SA,Twitter API,Twitter,b'LCH SA links EquityClear to Cboe Europe and Aquis Exchange Europe',b'nan',b'LCH SA links EquityClear to Cboe Europe and Aquis Exchange Europe',neutral,0.05,0.93,0.02,neutral,0.05,0.93,0.02,True,English,"['LCH SA', 'EquityClear', 'Cboe Europe', 'Aquis Exchange Europe', 'LCH SA', 'EquityClear', 'Cboe Europe', 'Aquis Exchange Europe']","['Aquis Exchange Europe', 'Cboe Europe', 'LCH SA', 'EquityClear', 'Aquis Exchange Europe', 'Cboe Europe', 'LCH SA', 'EquityClear']",2022-02-24,Unknown
LCH SA,Twitter API,Twitter,b'LCH SA further expands European equities offering with connections to new trading venues | LCH Group',b'nan',b'LCH SA further expands European equities offering with connections to new trading venues | LCH Group',neutral,0.03,0.96,0.01,neutral,0.03,0.96,0.01,True,English,"['LCH SA', 'LCH Group', 'LCH SA', 'LCH Group']","['new trading venues', 'LCH SA', 'European equities', 'LCH Group', 'connections', 'new trading venues', 'LCH SA', 'European equities', 'LCH Group', 'connections']",2022-02-24,Unknown
LCH SA,Twitter API,Twitter,"b'EquityClear SA is now connected to Cboe Europe BV and Aquis Exchange Europe, expanding LCH SA\xe2\x80\x99s European equities o\xe2\x80\xa6'",b'nan',"b'EquityClear SA is now connected to Cboe Europe BV and Aquis Exchange Europe, expanding LCH SA\xe2\x80\x99s European equities o\xe2\x80\xa6'",neutral,0.0,0.99,0.01,neutral,0.0,0.99,0.01,True,English,"['EquityClear SA', 'Cboe Europe BV', 'Aquis Exchange Europe', 'LCH SA', 'EquityClear SA', 'Cboe Europe BV', 'Aquis Exchange Europe', 'LCH SA']","['Cboe Europe BV', 'Aquis Exchange Europe', 'EquityClear SA', 'LCH SA', 'European equities', 'Cboe Europe BV', 'Aquis Exchange Europe', 'EquityClear SA', 'LCH SA', 'European equities']",2022-02-24,Unknown
LCH SA,Twitter API,Twitter,b'LCH SA Further Expands European Equities Offering With Connections To New Trading Venues',b'nan',b'LCH SA Further Expands European Equities Offering With Connections To New Trading Venues',neutral,0.06,0.93,0.01,neutral,0.06,0.93,0.01,True,English,"['LCH SA', 'LCH SA']","['European Equities Offering', 'New Trading Venues', 'LCH SA', 'Connections', 'European Equities Offering', 'New Trading Venues', 'LCH SA', 'Connections']",2022-02-24,Unknown
LCH SA,Twitter API,Twitter,b'LCH SA links EquityClear to Cboe Europe and Aquis Exchange Europe By connecting to additional European trading venu\xe2\x80\xa6',b'nan',b'LCH SA links EquityClear to Cboe Europe and Aquis Exchange Europe By connecting to additional European trading venu\xe2\x80\xa6',neutral,0.02,0.97,0.01,neutral,0.02,0.97,0.01,True,English,"['LCH SA', 'EquityClear', 'Cboe Europe', 'Aquis Exchange Europe', 'LCH SA', 'EquityClear', 'Cboe Europe', 'Aquis Exchange Europe']","['additional European trading venu', 'Aquis Exchange Europe', 'Cboe Europe', 'LCH SA', 'EquityClear', 'additional European trading venu', 'Aquis Exchange Europe', 'Cboe Europe', 'LCH SA', 'EquityClear']",2022-02-24,Unknown
LCH SA,Twitter API,Twitter,b'LCH SA connects EquityClear to Cboe and Aquis Exchange Europe',b'nan',b'LCH SA connects EquityClear to Cboe and Aquis Exchange Europe',neutral,0.04,0.95,0.01,neutral,0.04,0.95,0.01,True,English,"['LCH SA', 'EquityClear', 'Cboe', 'Aquis Exchange Europe', 'LCH SA', 'EquityClear', 'Cboe', 'Aquis Exchange Europe']","['Aquis Exchange Europe', 'LCH SA', 'EquityClear', 'Cboe', 'Aquis Exchange Europe', 'LCH SA', 'EquityClear', 'Cboe']",2022-02-24,Unknown
LCH SA,Twitter API,Twitter,b'LCH SA connects EquityClear to Cboe and Aquis Exchange Europe theTRADEnews',b'nan',b'LCH SA connects EquityClear to Cboe and Aquis Exchange Europe theTRADEnews',neutral,0.02,0.97,0.01,neutral,0.02,0.97,0.01,True,English,"['LCH SA', 'EquityClear', 'Cboe', 'Aquis Exchange Europe', 'LCH SA', 'EquityClear', 'Cboe', 'Aquis Exchange Europe']","['Aquis Exchange Europe theTRADEnews', 'LCH SA', 'EquityClear', 'Cboe', 'Aquis Exchange Europe theTRADEnews', 'LCH SA', 'EquityClear', 'Cboe']",2022-02-24,Unknown
Danske Bank,Google API,https://www.irishexaminer.com/news/courtandcrime/arid-40815804.html,"b""Former solicitor's \xe2\x82\xac27m theft trial hears Danske Bank lost \xe2\x82\xac1.3 ...""",b'3 days ago',b'3 days ago',negative,0.0,0.01,0.99,neutral,0.03,0.89,0.08,True,English,,,,irishexaminer.com
Danske Bank,Google API,https://www.occrp.org/en/azerbaijanilaundromat/the-contract-factory-inside-danske-bank-estonias-money-laundering-machine,"b""'The Contract Factory': Inside Danske Bank Estonia's Money ...""",b'4 days ago',b'4 days ago',neutral,0.01,0.94,0.05,neutral,0.01,0.98,0.01,True,English,,,,occrp.org
Danske Bank,Google API,https://www.irishfa.com/news/2022/february/danske-bank-schools-cup-reaches-last-four-stage,"b""Danske Bank Schools' Cup reaches last four stage""",b'5 days ago',b'5 days ago',neutral,0.0,0.99,0.01,neutral,0.02,0.96,0.02,True,English,,,,irishfa.com
Danske Bank,Google API,https://portadownfc.co.uk/2022/02/25/portadown-v-warrenpoint-town-match-preview-danske-bank-premiership-26-feb-2022/,b'Portadown v Warrenpoint Town match preview | Danske Bank ...',b'2 days ago',b'2 days ago',neutral,0.01,0.99,0.0,neutral,0.03,0.89,0.08,True,English,,,,portadownfc.co.uk
Danske Bank,Google API,https://www.fxstreet.com/news/significant-upside-for-both-oil-and-gas-prices-danske-bank-202202241224,b'Significant upside for both oil and gas prices \xe2\x80\x93 Danske Bank',b'3 days ago',b'3 days ago',neutral,0.01,0.98,0.01,neutral,0.03,0.89,0.08,True,English,,,,fxstreet.com
Danske Bank,PyNews API,https://finance.yahoo.com/news/annual-general-meeting-danske-bank-100000323.html,b'Annual general meeting of Danske Bank A/S',b'Company announcement no 4 2021 Danske Bank A/SHolmens Kanal 2 \xe2\x80\x93 12DK - 1092 K\xc3\xb8benhavn KTel. +45 45 14 00 00 21 February 2022 Annual general meeting of Danske...',"b'Volatility, and descending trends, thats the path the markets are taking these days. While the usual headwinds are all in play, the chief worry now is coming from Eastern Europe. Will Russia invade, \xe2\x80\xa6 [+297 chars]'",neutral,0.07,0.91,0.02,negative,0.0,0.0,1.0,True,English,,,2022-02-25,finance.yahoo.com
Danske Bank,Bing API,https://www.newsletter.co.uk/sport/football/northern-ireland/derby-joy-for-cliftonville-as-larne-see-off-dungannon-3588690,b'Derby joy for Cliftonville as Larne see off Dungannon',b'Cliftonville moved above Linfield into second place with a 3-1 victory over 10-man Crusaders at Solitude on Saturday in the Danske Bank Irish Premiership.',b'Cliftonville moved above Linfield into second place with a 3-1 victory over 10-man Crusaders at Solitude on Saturday in the Danske Bank Irish Premiership.',positive,0.99,0.01,0.0,neutral,0.28,0.7,0.02,True,English,,,2022-02-27,newsletter.co.uk
Danske Bank,Bing API,https://www.belfastlive.co.uk/sport/football/football-news/crusaders-manager-stephen-baxter-throw-23230282,b'Crusaders manager Stephen Baxter: Throw-in and handbags decided North Belfast derby',b'Crusaders manager Stephen Baxter says Saturday\xe2\x80\x99s North Belfast derby turned on a \xe2\x80\x9chandbags\xe2\x80\x9d moment and a throw-in that should never have been at Solitude. Cliftonville ran out 3-1 winners over their nearest rivals to leapfrog Linfield and up to second in the Danske Bank Premiership with nine games left to play in the title race.',b'Crusaders manager Stephen Baxter says Saturday\xe2\x80\x99s North Belfast derby turned on a \xe2\x80\x9chandbags\xe2\x80\x9d moment and a throw-in that should never have been at Solitude. Cliftonville ran out 3-1 winners over their nearest rivals to leapfrog Linfield and up to second in the Danske Bank Premiership with nine games left to play in the title race.',neutral,0.01,0.98,0.01,neutral,0.03,0.89,0.08,True,English,,,2022-02-27,belfastlive.co.uk
Danske Bank,Bing API,https://www.belfasttelegraph.co.uk/sunday-life/sport/barry-gray-blasts-warrenpoint-stars-after-defeat-to-portadown-casts-them-further-adrift-at-bottom-of-the-premiership-41390081.html,b'Barry Gray blasts Warrenpoint stars after defeat to Portadown casts them further adrift at bottom of the Premiership',b'Angry Barry Gray laid the responsibility for the defeat that left Warrenpoint Town five points adrift at the bottom of the Danske Bank Premiership firmly at the feet of his players.',b'Angry Barry Gray laid the responsibility for the defeat that left Warrenpoint Town five points adrift at the bottom of the Danske Bank Premiership firmly at the feet of his players.',negative,0.0,0.0,1.0,negative,0.0,0.0,1.0,True,English,,,2022-02-26,belfasttelegraph.co.uk
Danske Bank,Bing API,https://www.irishnews.com/business/2022/02/26/news/danske-bank-staff-to-get-3-5-per-cent-pay-increase-in-2022-2598889/,b'Danske Bank staff to get 3.5 per cent pay increase in 2022',"b'THE Financial Services Union (FSU) has said it has reached an agreement with Danske Bank on a 3.5 per cent pay increase for staff in 2022. The union previously balloted members in 2020 on a three year pay deal,'","b'THE Financial Services Union (FSU) has said it has reached an agreement with Danske Bank on a 3.5 per cent pay increase for staff in 2022. The union previously balloted members in 2020 on a three year pay deal,'",neutral,0.01,0.98,0.01,neutral,0.0,0.99,0.01,True,English,,,2022-02-26,irishnews.com
Danske Bank,Bing API,https://www.belfastlive.co.uk/sport/football/football-news/warrenpoint-town-boss-barry-gray-23224975,"b""Warrenpoint Town boss Barry Gray: Survival doesn't hinge on Shamrock Park six-pointer""",b'Warrenpoint Town boss Barry Gray insists he won\xe2\x80\x99t be taking a \xe2\x80\x98boom or bust\xe2\x80\x99 attitude into Saturday\xe2\x80\x99s relegation six pointer with Portadown at Shamrock Park (3pm). A win would ease Town - who lie two points below the Ports - off the foot of the Danske Bank Premiership for the first time in five months.',b'Warrenpoint Town boss Barry Gray insists he won\xe2\x80\x99t be taking a \xe2\x80\x98boom or bust\xe2\x80\x99 attitude into Saturday\xe2\x80\x99s relegation six pointer with Portadown at Shamrock Park (3pm). A win would ease Town - who lie two points below the Ports - off the foot of the Danske Bank Premiership for the first time in five months.',neutral,0.01,0.9,0.09,mixed,0.5,0.06,0.44,True,English,,,2022-02-26,belfastlive.co.uk
Danske Bank,Bing API,https://www.newsletter.co.uk/sport/football/northern-ireland/tight-title-race-brings-pressure-and-motivation-says-mick-mcdermott-3587302,b'Tight title race brings pressure and motivation says Mick McDermott',b'Glentoran boss Mick McDermott says the narrow margins in the race for this year\xe2\x80\x99s Danske Bank Premiership title brings both motivation and pressure.',b'Glentoran boss Mick McDermott says the narrow margins in the race for this year\xe2\x80\x99s Danske Bank Premiership title brings both motivation and pressure.',neutral,0.43,0.52,0.05,neutral,0.24,0.74,0.02,True,English,,,2022-02-25,newsletter.co.uk
Danske Bank,Twitter API,Twitter,b'clairedalg FiveGuysUK Its the same as Ulster bank or Danske bank notes from Northern Ireland.. English think bank\xe2\x80\xa6',b'nan',b'clairedalg FiveGuysUK Its the same as Ulster bank or Danske bank notes from Northern Ireland.. English think bank\xe2\x80\xa6',neutral,0.02,0.96,0.02,neutral,0.02,0.96,0.02,True,English,,,2022-02-27,Unknown
Danske Bank,Twitter API,Twitter,b'phishingDK - Bank Fraud - Danske Bank/danskedkk-bank.coNamecheap Please suspend - 20 DanskeBank attacks in 10 days...thats many.',b'nan',b'phishingDK - Bank Fraud - Danske Bank/danskedkk-bank.coNamecheap Please suspend - 20 DanskeBank attacks in 10 days...thats many.',negative,0.0,0.02,0.98,negative,0.0,0.02,0.98,True,English,,,2022-02-27,Unknown
