Searchword,API,URL,Title,Summary,Article,Title_Sentiment,Title_Positive,Title_Neutral,Title_Negative,Article_Sentiment,Article_Positive,Article_Neutral,Article_Negative,Verified,Language,Date,Source,NER,Topics
JPMorgan Chase,Google API,https://www.hpcwire.com/off-the-wire/jpmorgan-chase-toshiba-and-ciena-build-quantum-key-distribution-network/,"b'JPMorgan Chase, Toshiba and Ciena Build Quantum Key ...'",b'3 days ago',b'3 days ago',neutral,0.01,0.99,0.0,neutral,0.03,0.89,0.08,True,English,,hpcwire.com,,
JPMorgan Chase,Google API,https://www.reuters.com/technology/jpmorgan-toshiba-ciena-find-new-way-protect-blockchain-with-quantum-network-2022-02-17/,"b'JPMorgan, Toshiba, Ciena find new way to protect blockchain ...'",b'3 days ago',b'3 days ago',positive,0.58,0.42,0.0,neutral,0.03,0.89,0.08,True,English,,reuters.com,,
JPMorgan Chase,Google API,https://www.businesstravelnews.com/Procurement/JPMorgan-Chase-to-Acquire-Frosch,b'JPMorgan Chase to Acquire Frosch',b'3 days ago',b'3 days ago',neutral,0.18,0.78,0.04,neutral,0.03,0.89,0.08,True,English,,businesstravelnews.com,,
JPMorgan Chase,Google API,https://www.reuters.com/technology/jpmorgan-calls-regulatory-quick-fix-crypto-hedging-2022-02-15/,b'JPMorgan calls for regulatory quick fix for crypto hedging',b'5 days ago',b'5 days ago',positive,0.51,0.47,0.02,neutral,0.02,0.96,0.02,True,English,,reuters.com,,
JPMorgan Chase,Google API,https://fortune.com/2022/02/16/jpmorgan-first-bank-join-metaverse/,b'JPMorgan bets metaverse is a $1 trillion yearly opportunity as it becomes first bank to open in virtual world',b'4 days ago',b'4 days ago',neutral,0.01,0.98,0.01,neutral,0.01,0.98,0.01,True,English,,fortune.com,,
JPMorgan Chase,Google API,https://www.networkworld.com/article/3649774/jpmorgan-chase-spent-2-billion-on-brand-new-data-centers-last-year.html,b'JPMorgan Chase spent $2 billion on brand new data centers last year',b'4 days ago',b'4 days ago',neutral,0.1,0.87,0.03,neutral,0.01,0.98,0.01,True,English,,networkworld.com,,
JPMorgan Chase,Google API,https://www.roi-nj.com/2022/02/17/finance/prudential-jpmorgan-chase-helping-to-launch-1-7m-entrepreneurs-of-color-fund-in-newark/,"b'Prudential, JPMorgan Chase helping to launch $1.7M ...'",b'3 days ago',b'3 days ago',neutral,0.41,0.59,0.0,neutral,0.03,0.89,0.08,True,English,,roi-nj.com,,
JPMorgan Chase,Google API,https://www.americanbanker.com/news/bny-mellon-hires-treasury-services-ceo-from-jpmorgan-chase,b'BNY Mellon hires treasury services CEO from JPMorgan Chase',b'4 days ago',b'4 days ago',neutral,0.02,0.97,0.01,neutral,0.01,0.98,0.01,True,English,,americanbanker.com,,
JPMorgan Chase,Google API,https://www.investorsobserver.com/news/stock-update/do-analysts-agree-friday-on-jpmorgan-chase-co-jpm-stocks-target-price,"b""Do Analysts Agree Friday on JPMorgan Chase & Co (JPM) Stock's Target Price?""",b'2 days ago',b'2 days ago',neutral,0.07,0.85,0.08,neutral,0.03,0.89,0.08,True,English,,investorsobserver.com,,
JPMorgan Chase,PyNews API,https://www.reuters.com/technology/jpmorgan-calls-regulatory-quick-fix-crypto-hedging-2022-02-15/,b'JPMorgan calls for regulatory quick fix for crypto hedging - Reuters',"b'New rules are needed urgently to give banks certainty in handling cryptoassets on behalf of big customers who want to enter the rapidly evolving market, a senior executive from U.S. bank JPMorgan Chase <a href="""" target=\xe2\x80\xa6'","b'New rules are needed urgently to give banks certainty in handling cryptoassets on behalf of big customers who want to enter the rapidly evolving market, a senior executive from U.S. bank JPMorgan Chase <a href="""" target=\xe2\x80\xa6'",neutral,0.31,0.66,0.03,neutral,0.01,0.98,0.01,True,English,2022-02-15,reuters.com,,
JPMorgan Chase,PyNews API,https://www.reuters.com/technology/jpmorgan-toshiba-ciena-find-new-way-protect-blockchain-with-quantum-network-2022-02-17/,"b'JPMorgan, Toshiba, Ciena find new way to protect blockchain with quantum network - Reuters'","b'A team of quantum computing engineers from JPMorgan Chase & Co <a href="""" target=""_blank"">(JPM.N)</a>, Toshiba Corp <a href="""" target=""_blank"">(6502.T)</a> and Ciena Corp say they \xe2\x80\xa6'","b'A team of quantum computing engineers from JPMorgan Chase & Co <a href="""" target=""_blank"">(JPM.N)</a>, Toshiba Corp <a href="""" target=""_blank"">(6502.T)</a> and Ciena Corp say they \xe2\x80\xa6'",neutral,0.32,0.68,0.0,neutral,0.01,0.99,0.0,True,English,2022-02-15,reuters.com,,
JPMorgan Chase,PyNews API,https://www.reuters.com/business/finance/jpmorgan-raises-annual-forecast-net-interest-income-53-bln-2022-02-18/,b'JPMorgan raises annual forecast for net interest income to $53 bln - Reuters',"b'JPMorgan Chase & Co <a href="""" target=""_blank"">(JPM.N)</a> expects its net interest income to grow to $53 billion in 2022, up $3 billion from its prior forecast, Chief Financial Officer Jeremy Barnum said on Friday at a \xe2\x80\xa6'","b'JPMorgan Chase & Co <a href="""" target=""_blank"">(JPM.N)</a> expects its net interest income to grow to $53 billion in 2022, up $3 billion from its prior forecast, Chief Financial Officer Jeremy Barnum said on Friday at a \xe2\x80\xa6'",neutral,0.02,0.97,0.01,neutral,0.06,0.91,0.03,True,English,2022-02-15,reuters.com,,
JPMorgan Chase,PyNews API,https://news.slashdot.org/story/22/02/17/0653243/jpmorgan-becomes-first-bank-to-open-in-metaverse,b'JPMorgan Becomes First Bank To Open In Metaverse',"b""An anonymous reader quotes a report from Fortune: Investment banking giant JPMorgan Chase has set up shop in the Metajuku mall. The bank's lounge features a spiral staircase, a live tiger, and an illuminated portrait of CEO Jamie Dimon. The catch? JPMorgan's \xe2\x80\xa6""","b""An anonymous reader quotes a report from Fortune: Investment banking giant JPMorgan Chase has set up shop in the Metajuku mall. The bank's lounge features a spiral staircase, a live tiger, and an illuminated portrait of CEO Jamie Dimon. The catch? JPMorgan's \xe2\x80\xa6""",neutral,0.04,0.94,0.02,neutral,0.13,0.84,0.03,True,English,2022-02-15,news.slashdot.org,,
JPMorgan Chase,PyNews API,https://markets.businessinsider.com/news/currencies/jpmorgan-decentraland-onyx-lounge-metaverse-virtual-real-estate-crypto-dao-2022-2,b'JPMorgan opens a Decentraland lounge featuring a tiger as the bank seeks to capitalize on $1 trillion revenue opportunity from the metaverse',"b'The world is at an ""inflection point"" as companies and individuals pour into the metaverse, JPMorgan said in a report.'","b'JPMorgan Chase has opened a lounge in Decentraland, as the biggest bank in the US looks to capitalize on what it says is ""limitless"" opportunity in the virtual world known as the metaverse.\rIn Decen\xe2\x80\xa6 [+1999 chars]'",neutral,0.0,1.0,0.0,neutral,0.04,0.91,0.05,True,English,2022-02-15,markets.businessinsider.com,,
JPMorgan Chase,PyNews API,https://www.theregister.com/2022/02/17/jpmorgan_postquantum/,b'JPMorgan Chase readies for post-quantum security world',"b'Expanding the reach of quantum communications, QKD. LiterallyThese days it seems every major company is outlining a quantum strategy, even if those plans are nebulous at best. However, in areas like financial services, especially at global banks like JPMorga\xe2\x80\xa6'","b'Expanding the reach of quantum communications, QKD. LiterallyThese days it seems every major company is outlining a quantum strategy, even if those plans are nebulous at best. However, in areas like financial services, especially at global banks like JPMorga\xe2\x80\xa6'",neutral,0.43,0.55,0.02,positive,0.6,0.35,0.05,True,English,2022-02-15,theregister.com,,
JPMorgan Chase,PyNews API,https://www.marketwatch.com/story/jefferies-downgrades-jpmorgan-as-part-of-banking-reshuffle-11644848006,b'The Ratings Game: Jefferies downgrades JPMorgan as part of banking ratings reshuffle',"b'Weighing interest rate hikes and expenses at banks, Jefferies analysts cut JPMorgan and USB to hold from buy and upgraded CMA and Zion.'",b'Jefferies on Monday downgraded Dow Jones Industrial Average component JPMorgan Chase &amp; Co. to hold from buy after sifting through the expected impact of interest rate hikes and higher expenses in\xe2\x80\xa6 [+2721 chars]',neutral,0.01,0.62,0.37,neutral,0.03,0.58,0.39,True,English,2022-02-15,marketwatch.com,,
JPMorgan Chase,Bing API,https://www.msn.com/en-us/finance/other/heres-how-companies-plan-to-take-advantage-of-the-metaverse/ar-AAU4cRI,"b""Here's How Companies Plan to Take Advantage of The Metaverse""","b'A recent report by JPMorgan Chase projected some serious numbers for the network of 3D virtual worlds. ""The metaverse will likely infiltrate every sector in some way in the coming years, with the market opportunity estimated at over $1 trillion in yearly ...'","b'A recent report by JPMorgan Chase projected some serious numbers for the network of 3D virtual worlds. ""The metaverse will likely infiltrate every sector in some way in the coming years, with the market opportunity estimated at over $1 trillion in yearly ...'",neutral,0.03,0.96,0.01,neutral,0.03,0.91,0.06,True,English,2022-02-20,msn.com,,
JPMorgan Chase,Bing API,https://etfdailynews.com/news/parisi-gray-wealth-management-sells-67-shares-of-jpmorgan-chase-co-nysejpm/,b'Parisi Gray Wealth Management Sells 67 Shares of JPMorgan Chase & Co. (NYSE:JPM)',"b'Parisi Gray Wealth Management trimmed its stake in shares of JPMorgan Chase & Co. (NYSE:JPM) by 0.3% in the third quarter, according to the company in its most recent Form 13F filing with the ...'","b'Parisi Gray Wealth Management trimmed its stake in shares of JPMorgan Chase & Co. (NYSE:JPM) by 0.3% in the third quarter, according to the company in its most recent Form 13F filing with the ...'",neutral,0.23,0.76,0.01,neutral,0.04,0.96,0.0,True,English,2022-02-20,etfdailynews.com,,
JPMorgan Chase,Twitter API,Twitter,"b'Welcome to the Metaverse, JPMorgan Chase'",b'nan',"b'Welcome to the Metaverse, JPMorgan Chase'",positive,0.93,0.07,0.0,positive,0.93,0.07,0.0,True,English,2022-02-20,Unknown,,
JPMorgan Chase,Twitter API,Twitter,b'$DKNG price target lowered from $30 to $19 at JPMorgan Chase',b'nan',b'$DKNG price target lowered from $30 to $19 at JPMorgan Chase',neutral,0.01,0.98,0.01,neutral,0.01,0.98,0.01,True,English,2022-02-20,Unknown,,
