Searchword,API,URL,Title,Summary,Article,Title_Sentiment,Title_Positive,Title_Neutral,Title_Negative,Article_Sentiment,Article_Positive,Article_Neutral,Article_Negative,Verified,Language,NER,Topics,Date,Source,key
LCH Ltd,Bing API,https://www.unionvilletimes.com/?p=48507,LCH celebrates Avon Grove grads who used Escalera program,"WEST GROVE – LCH Health and Community Services recently celebrated the graduation of ten Avon Grove High School seniors who participated in LCH’s Escalera program, a program championed by national Latino advocacy organization UnidosUS .","WEST GROVE – LCH Health and Community Services recently celebrated the graduation of ten Avon Grove High School seniors who participated in LCH’s Escalera program, a program championed by national Latino advocacy organization UnidosUS .",neutral,0.02,0.98,0.0,neutral,0.0,1.0,0.0,True,English,"['LCH', 'Avon Grove', 'LCH Health and Community Services', 'Avon Grove High School', 'LCH', 'UnidosUS']","['Avon Grove grads', 'Escalera program', 'LCH', 'ten Avon Grove High School seniors', 'national Latino advocacy organization UnidosUS', 'WEST GROVE', 'Community Services', 'LCH Health', 'Escalera program', 'graduation']",2021-06-30,unionvilletimes.com,LCH Ltd
Societe Generale,Google API,https://www.afr.com/companies/financial-services/sg-says-loans-goods-didn-t-exist-in-forum-fraud-claim-20210705-p586ve,"Westpac fraud: Societe Generale says loans, goods","French bank Societe Generale says Forum Finance sold it loans that never ... While Westpac appears to be the biggest victim, Societe General claimed in a ...","French bank Societe Generale says Forum Finance sold it loans that never ... While Westpac appears to be the biggest victim, Societe General claimed in a ...",negative,0.0,0.0,1.0,negative,0.0,0.0,1.0,True,English,,,2021-07-05,afr.com,Societe Generale
Societe Generale,Google API,https://www.themercury.com.au/business/westpac-moves-to-liquidate-forum-finance-as-262m-fraud-alleged/news-story/fc07026237a6ef1e40dfe0a89c444a54,Westpac moves to liquidate Forum Finance as $262m fraud alleged,"The Westpac investigation into Forum Finance comes as Societe Generale also took separate legal action against the finance firm, alleging deceptive conduct ...","The Westpac investigation into Forum Finance comes as Societe Generale also took separate legal action against the finance firm, alleging deceptive conduct ...",negative,0.0,0.0,1.0,negative,0.0,0.02,0.98,True,English,,,2021-07-05,themercury.com.au,Societe Generale
Societe Generale,Google API,https://www.heraldsun.com.au/business/forgery-alleged-in-forum-finance-scandal/news-story/d7cb19e35cdcd177b8f8bab886683e82,Subscribe to the Herald Sun for exclusive stories,"Legal documents lodged in the Federal Court by French bank Societe Generale show how it is entangled in the alleged fraudulent activity, given it was part of a ...","Legal documents lodged in the Federal Court by French bank Societe Generale show how it is entangled in the alleged fraudulent activity, given it was part of a ...",neutral,0.11,0.87,0.02,negative,0.0,0.0,1.0,True,English,,,,heraldsun.com.au,Societe Generale
Societe Generale,Google API,https://www.lawyerly.com.au/westpac-societe-generale-accuse-software-company-of-263m-fraud/,"Westpac, Societe Generale accuse software company of $263 ...",A spokesperson from Societe General acknowledged its lawsuit in a statement to Lawyerly. “Societe Generale Sydney Branch confirms having provided financing ...,A spokesperson from Societe General acknowledged its lawsuit in a statement to Lawyerly. “Societe Generale Sydney Branch confirms having provided financing ...,negative,0.01,0.26,0.73,negative,0.0,0.1,0.9,True,English,,,2021-07-03,lawyerly.com.au,Societe Generale
Societe Generale,Google API,https://www.hurriyetdailynews.com/turkeys-eximbank-realizes-750-mln-bond-issuance-165953,Turkey's Eximbank realizes $750 mln bond issuance,"... ING Bank, Mizuho International plc, MUFG Securities, SMBC Nikko Capital Markets Limited, and Societe Generale, according to a Turk Eximbank statement.","... ING Bank, Mizuho International plc, MUFG Securities, SMBC Nikko Capital Markets Limited, and Societe Generale, according to a Turk Eximbank statement.",neutral,0.0,1.0,0.0,neutral,0.0,1.0,0.0,True,English,,,2021-07-01,hurriyetdailynews.com,Societe Generale
Societe Generale,Twitter API,Twitter,Yey! Tonight is the night! See you at 6.30 pm at our next meetup powered by Societe Generale Global Solution Centre…,,Yey! Tonight is the night! See you at 6.30 pm at our next meetup powered by Societe Generale Global Solution Centre…,positive,0.93,0.06,0.01,positive,0.93,0.06,0.01,True,English,,,2021-07-06,Unknown,Societe Generale
Societe Generale,Twitter API,Twitter,"Societe Generale says loans, goods",,"Societe Generale says loans, goods",neutral,0.02,0.84,0.14,neutral,0.02,0.84,0.14,True,English,,,2021-07-05,Unknown,Societe Generale
Societe Generale,Twitter API,Twitter,Westpac fraud: The Sydney football tycoon at the centre of fraud allegations by Westpac and French bank Societe Gen…,,Westpac fraud: The Sydney football tycoon at the centre of fraud allegations by Westpac and French bank Societe Gen…,negative,0.0,0.0,1.0,negative,0.0,0.0,1.0,True,English,,,2021-07-05,Unknown,Societe Generale
Societe Generale,Twitter API,Twitter,French lender Societe Generale bought $9 million of receivables from Forum Finance as more details of a $200 millio…,,French lender Societe Generale bought $9 million of receivables from Forum Finance as more details of a $200 millio…,neutral,0.02,0.94,0.04,neutral,0.02,0.94,0.04,True,English,,,2021-07-05,Unknown,Societe Generale
