Searchword,API,URL,Title,Summary,Article,Title_Sentiment,Title_Positive,Title_Neutral,Title_Negative,Article_Sentiment,Article_Positive,Article_Neutral,Article_Negative,Verified,Language,NER,Topics,Date,Source
Euroclear,Google API,https://www.prnewswire.co.uk/news-releases/lundin-mining-announces-50-increase-to-regular-dividend-and-inaugural-performance-dividend-808437954.html,b'Lundin Mining Announces 50% Increase to Regular Dividend ...',"b'Dividends on shares traded on Nasdaq Stockholm will be paid in Swedish kronor (""SEK"") in accordance with Euroclear principles on September 16, 2021.'","b'Dividends on shares traded on Nasdaq Stockholm will be paid in Swedish kronor (""SEK"") in accordance with Euroclear principles on September 16, 2021.'",neutral,0.01,0.99,0.0,neutral,0.01,0.93,0.06,True,English,"['Lundin Mining', 'Nasdaq Stockholm', 'Euroclear']","['Lundin Mining', '50% Increase', 'Regular', 'Dividend', 'Nasdaq Stockholm', 'Swedish kronor', 'Euroclear principles', 'Dividends', 'shares', 'SEK', 'accordance', 'September']",2021-07-29,prnewswire.co.uk
Euroclear,Google API,https://dailynewsegypt.com/2021/07/26/egypt-is-vitally-important-for-expansion-in-emerging-markets-citibank/,b'Egypt is vitally important for expansion in emerging markets ...',"b'The government has delivered on their plans with respect to indexation and Euroclear, which should attract more foreign investment into the local government ...'","b'The government has delivered on their plans with respect to indexation and Euroclear, which should attract more foreign investment into the local government ...'",neutral,0.08,0.91,0.01,positive,0.59,0.29,0.12,True,English,[],"['emerging markets', 'Egypt', 'expansion', 'foreign investment', 'local government', 'plans', 'respect', 'indexation', 'Euroclear']",2021-07-26,dailynewsegypt.com
Euroclear,Google API,https://www.reuters.com/business/finance/nyse-owner-ices-second-quarter-profit-more-than-doubles-2021-07-29/,"b""NYSE-owner ICE's second-quarter profit more than doubles""","b""... of its stake in Euroclear, Europe's biggest settlement house for securities, as it seeks to reduce its leverage following the Ellie Mae acquisition.""","b""... of its stake in Euroclear, Europe's biggest settlement house for securities, as it seeks to reduce its leverage following the Ellie Mae acquisition.""",neutral,0.01,0.97,0.02,neutral,0.0,1.0,0.0,True,English,"['NYSE', 'ICE', 'Euroclear', 'Ellie Mae']","['NYSE-owner ICE', 'second-quarter profit', 'doubles', 'biggest settlement house', 'Ellie Mae acquisition', 'stake', 'Euroclear', 'Europe', 'securities', 'leverage']",2021-07-29,reuters.com
Euroclear,Google API,https://www.valdostadailytimes.com/news/business/dole-plc-announces-completion-of-the-acquisition-of-total-produce-plc-and-dfc-holdings-llc/article_5a27db4a-eac9-552e-9af2-b6200c83e1c3.html,b'Dole plc Announces Completion of the Acquisition of Total ...',b'Those shareholders who held Total Produce Shares through the Euroclear System or as CREST Depositary Interests should contact their stockbroker or other ...',b'Those shareholders who held Total Produce Shares through the Euroclear System or as CREST Depositary Interests should contact their stockbroker or other ...',neutral,0.01,0.98,0.01,neutral,0.05,0.93,0.02,True,English,['Dole plc'],"['Dole plc', 'Completion', 'Acquisition', 'Total', 'Total Produce Shares', 'CREST Depositary Interests', 'Euroclear System', 'shareholders', 'stockbroker', 'other']",2021-07-30,valdostadailytimes.com
Euroclear,Google API,https://www.streetinsider.com/SEC+Filings/Form+424B2+MORGAN+STANLEY/18741530.html,b'Form 424B2 MORGAN STANLEY',"b'Euroclear and Clearstream, Luxembourg participants may not deliver instructions directly to CDS or the Canadian Subcustodians. Because of time-zone differences, ...'","b'Euroclear and Clearstream, Luxembourg participants may not deliver instructions directly to CDS or the Canadian Subcustodians. Because of time-zone differences, ...'",neutral,0.01,0.99,0.0,negative,0.0,0.29,0.71,True,English,"['Euroclear', 'Clearstream', 'CDS', 'Subcustodians']","['Form 424B2', 'MORGAN STANLEY', 'Luxembourg participants', 'Canadian Subcustodians', 'time-zone differences', 'Euroclear', 'Clearstream', 'instructions', 'CDS']",2021-07-29,streetinsider.com
Euroclear,Google API,https://www.streetinsider.com/Globe+Newswire/Royal+Dutch+Shell+plc+second+quarter+2021+interim+dividend/18736456.html,b'Royal Dutch Shell plc second quarter 2021 interim dividend',b'... may apply to shareholders holding shares in a securities account with a bank or financial institution ultimately holding through Euroclear Nederland.',b'... may apply to shareholders holding shares in a securities account with a bank or financial institution ultimately holding through Euroclear Nederland.',neutral,0.0,1.0,0.0,neutral,0.0,0.99,0.01,True,English,"['Royal Dutch Shell plc', 'Euroclear Nederland']","['Royal Dutch Shell plc', 'second quarter', 'interim dividend', 'securities account', 'financial institution', 'Euroclear Nederland', 'shareholders', 'shares', 'bank']",2021-07-29,streetinsider.com
Euroclear,Google API,https://www.globenewswire.com/news-release/2021/07/29/2271567/0/en/Euronext-publishes-Q2-2021-results.html,b'Euronext publishes Q2 2021 results',"b'In connection with the Rights Offer, Euroclear SA/NV and SFPI-FPIM have undertaken that, subject to certain exceptions, that they will not dispose of any ...'","b'In connection with the Rights Offer, Euroclear SA/NV and SFPI-FPIM have undertaken that, subject to certain exceptions, that they will not dispose of any ...'",neutral,0.04,0.92,0.04,neutral,0.02,0.85,0.13,True,English,"['Euronext', 'Euroclear SA/NV', 'SFPI-FPIM']","['Q2 2021 results', 'Euronext', 'Rights Offer', 'Euroclear SA/NV', 'connection', 'SFPI-FPIM', 'exceptions']",2021-07-29,globenewswire.com
Euroclear,Google API,https://www.marketscreener.com/quote/stock/OXFORD-INSTRUMENTS-PLC-4000738/news/Oxford-Instruments-Annual-General-Meeting-2021-35940681/,b'Oxford Instruments : Annual General Meeting 2021',"b'If you are a CREST member, you can register your proxy vote by using the service provided by Euroclear UK & Ireland Limited. To be valid, your proxy vote ...'","b'If you are a CREST member, you can register your proxy vote by using the service provided by Euroclear UK & Ireland Limited. To be valid, your proxy vote ...'",neutral,0.01,0.99,0.0,neutral,0.04,0.72,0.24,True,English,"['Oxford Instruments', 'CREST', 'Euroclear UK & Ireland Limited']","['Annual General Meeting', 'Oxford Instruments', 'CREST member', 'proxy vote', 'Euroclear UK', 'service', 'Ireland']",2021-07-26,marketscreener.com
Euroclear,Google API,https://www.moneyweb.co.za/mny_sens/reinet-investments-sca-notice-of-annual-general-meeting/,b'REINET INVESTMENTS SCA \xe2\x80\x93 Notice of annual general ...',"b'(ii) Instructions for shareholders whose shares are held in the European clearing systems (Euroclear Nederland, Euroclear Bank, Clearstream) and are traded ...'","b'(ii) Instructions for shareholders whose shares are held in the European clearing systems (Euroclear Nederland, Euroclear Bank, Clearstream) and are traded ...'",neutral,0.02,0.94,0.04,neutral,0.0,1.0,0.0,True,English,"['REINET INVESTMENTS SCA', 'Euroclear Nederland', 'Euroclear Bank', 'Clearstream']","['REINET INVESTMENTS SCA', 'annual general', 'Notice', 'European clearing systems', 'Euroclear Nederland', 'Euroclear Bank', 'Instructions', 'shareholders', 'shares', 'Clearstream']",2021-07-30,moneyweb.co.za
Euroclear,Google API,https://www.fool.com/earnings/call-transcripts/2021/07/29/intercontinental-exchange-inc-ice-q2-2021-earnings/,"b'Intercontinental Exchange, inc (ICE) Q2 2021 Earnings Call Transcript'","b'With respect to our other minority investments, we are in the early stages of exploring a sale of our stake in Euroclear. While the timing of any potential ...'","b'With respect to our other minority investments, we are in the early stages of exploring a sale of our stake in Euroclear. While the timing of any potential ...'",neutral,0.0,1.0,0.0,positive,0.56,0.41,0.03,True,English,"['Intercontinental Exchange, inc', 'ICE', 'Euroclear']","['Earnings Call Transcript', 'Intercontinental Exchange', 'ICE', 'Q2', 'other minority investments', 'early stages', 'respect', 'sale', 'stake', 'Euroclear', 'timing', 'potential']",2021-07-29,fool.com
