Searchword,Searchword_ID,API,URL,Title,Summary,Article,Title_Sentiment,Title_Positive,Title_Neutral,Title_Negative,Article_Sentiment,Article_Positive,Article_Neutral,Article_Negative,Verified,Language,NER,Topics,Date,Source,key
Euroclear,0,Google API,https://www.reuters.com/business/finance/exclusive-chile-wins-euroclear-access-corporate-bond-market-2021-07-02/,EXCLUSIVE Chile wins Euroclear access for corporate bond ...,"Settlement forms the crucial, underlying plumbing of financial markets and in emerging economies especially Euroclear's system can be a key way to attract big- ...","Settlement forms the crucial, underlying plumbing of financial markets and in emerging economies especially Euroclear's system can be a key way to attract big- ...",neutral,0.06,0.94,0.0,neutral,0.21,0.78,0.01,True,English,"['Euroclear', 'Euroclear']","['EXCLUSIVE Chile', 'Euroclear access', 'corporate bond', 'underlying plumbing', 'financial markets', 'emerging economies', 'key way', 'Settlement', 'Euroclear', 'system']",2021-07-02,reuters.com,Euroclear
Euroclear,0,Google API,https://www.globalcustodian.com/euroclear-leads-test-with-custodians-and-french-central-bank-on-cbdc-settlement/,Euroclear leads test with custodians and French central bank ...,"The test gives Euroclear a broad understanding into the running of an entire post-trade business on a blockchain platform. By Joe Parsons July 2, 2021 2:52 PM ...","The test gives Euroclear a broad understanding into the running of an entire post-trade business on a blockchain platform. By Joe Parsons July 2, 2021 2:52 PM ...",neutral,0.01,0.98,0.01,neutral,0.01,0.99,0.0,True,English,"['Euroclear', 'French central bank', 'Euroclear']","['central bank', 'Euroclear', 'test', 'custodians', 'French', 'entire post-trade business', 'broad understanding', 'blockchain platform', 'Joe Parsons', 'test', 'Euroclear', 'running']",2021-07-02,globalcustodian.com,Euroclear
Euroclear,0,Google API,https://www.couriermail.com.au/news/queensland/central-queensland/terracom-refinances-as-blair-athol-sales-are-on-the-rise/news-story/cb44a2ca2a8d1378aabfbcce985b2fcc,Mining company refinances as Central Qld coal sales rise,"TerraCom Limited revealed that all bondholders unanimously approved an extension of the Euroclear Bond maturity date from June 30, 2021, to August 13.","TerraCom Limited revealed that all bondholders unanimously approved an extension of the Euroclear Bond maturity date from June 30, 2021, to August 13.",neutral,0.01,0.99,0.0,neutral,0.0,0.99,0.01,True,English,"['Central Qld', 'TerraCom Limited']","['Central Qld coal sales', 'Mining company', 'Euroclear Bond maturity date', 'TerraCom Limited', 'bondholders', 'extension', 'June', 'August']",2021-07-01,couriermail.com.au,Euroclear
Euroclear,0,Google API,https://ledgerinsights.com/euronext-backed-liquidshare-adopts-daml-for-smart-contracts/,Euronext-backed Liquidshare adopts Daml for smart contracts,"Liquidshare is backed by Societe Generale, BNP Paribas, Euronext and Euroclear, amongst others. When it was founded in 2017, it started with a post-trade ...","Liquidshare is backed by Societe Generale, BNP Paribas, Euronext and Euroclear, amongst others. When it was founded in 2017, it started with a post-trade ...",neutral,0.41,0.58,0.01,neutral,0.01,0.98,0.01,True,English,"['Euronext', 'Liquidshare', 'Liquidshare', 'Societe Generale', 'BNP Paribas', 'Euronext', 'Euroclear']","['Euronext-backed Liquidshare', 'smart contracts', 'Daml', 'Societe Generale', 'BNP Paribas', 'Liquidshare', 'Euronext', 'Euroclear', 'others', 'post-trade']",2021-06-30,ledgerinsights.com,Euroclear
Euroclear,0,Google API,https://www.globalcustodian.com/network-managers-rethink-playbook-for-switching-sub-custody-providers/,Network managers rethink playbook for switching sub-custody ...,Euroclear leads test with custodians and French central bank on CBDC settlement. The test gives Euroclear a broad understanding into the running of an entire ...,Euroclear leads test with custodians and French central bank on CBDC settlement. The test gives Euroclear a broad understanding into the running of an entire ...,neutral,0.01,0.97,0.02,neutral,0.03,0.96,0.01,True,English,"['Euroclear', 'French central bank', 'Euroclear']","['Network managers', 'playbook', 'sub-custody', 'central bank', 'CBDC settlement', 'broad understanding', 'Euroclear', 'test', 'custodians', 'French', 'running', 'entire ...']",2021-07-02,globalcustodian.com,Euroclear
Euroclear,0,Google API,https://smallcaps.com.au/terracom-secures-new-finance-facility-improving-coal-sales/,TerraCom secures new finance facility amid improving coal ...,The company's bond holders have unanimously approved an extension of the Euroclear Bond maturity date from 30 June 2021 to the 13 August 2021.,The company's bond holders have unanimously approved an extension of the Euroclear Bond maturity date from 30 June 2021 to the 13 August 2021.,neutral,0.36,0.64,0.0,neutral,0.0,1.0,0.0,True,English,['TerraCom'],"['new finance facility', 'TerraCom', 'coal', 'Euroclear Bond maturity date', 'bond holders', 'company', 'extension', '30 June', '13 August']",2021-06-30,smallcaps.com.au,Euroclear
Euroclear,0,Google API,https://www.globenewswire.com/news-release/2021/07/02/2257215/0/en/CONDITIONS-FOR-PURCHASES-OF-CORPORATE-BONDS.html,CONDITIONS FOR PURCHASES OF CORPORATE BONDS,To the Riksbank's account in Euroclear Sweden AB's securities settlement system: 1 4948 6383. Securities issued in AM part: To the Riksbank's account in State ...,To the Riksbank's account in Euroclear Sweden AB's securities settlement system: 1 4948 6383. Securities issued in AM part: To the Riksbank's account in State ...,neutral,0.03,0.95,0.02,neutral,0.02,0.96,0.02,True,English,"['Riksbank', 'Euroclear Sweden AB', 'Riksbank']","['CORPORATE BONDS', 'CONDITIONS', 'PURCHASES', 'Euroclear Sweden AB', 'securities settlement system', 'Riksbank', 'account', 'AM', 'part', 'State']",2021-07-02,globenewswire.com,Euroclear
Euroclear,0,Google API,https://www.prnewswire.co.uk/news-releases/artmarket-com-at-just-34-avery-singer-has-already-reached-4-million-at-auction-artprice-looks-at-the-reasons-and-the-risks--866587441.html,"Artmarket.com: at just 34, Avery Singer has already reached ...","Artmarket.com is listed on Eurolist by Euronext Paris, SRD long only and Euroclear: 7478 - Bloomberg: PRC - Reuters: ARTF. Discover Artmarket and its Artprice ...","Artmarket.com is listed on Eurolist by Euronext Paris, SRD long only and Euroclear: 7478 - Bloomberg: PRC - Reuters: ARTF. Discover Artmarket and its Artprice ...",neutral,0.39,0.47,0.14,neutral,0.02,0.97,0.01,True,English,"['Artmarket.com', 'Euronext Paris', 'SRD', 'Bloomberg', 'Reuters', 'ARTF', 'Artprice']","['Avery Singer', 'Artmarket', 'Artmarket.com', 'Euronext Paris', 'Discover Artmarket', 'Eurolist', 'SRD', 'Bloomberg', 'PRC', 'Reuters', 'ARTF.', 'Artprice']",2021-06-29,prnewswire.co.uk,Euroclear
Euroclear,0,PyNews API,https://www.reuters.com/business/finance/exclusive-chile-wins-euroclear-access-corporate-bond-market-2021-07-02/,EXCLUSIVE Chile wins Euroclear access for corporate bond market - Reuters,Chile has sealed a long-awaited deal with Europe's biggest securities settlement house Euroclear to include the country's corporate bonds on the firm's international investor platform.,"Men walk through the financial district next to Santiago's stock exchange, August 25, 2014. REUTERS/Ivan Alvarado/FilesLONDON, July 2 (Reuters) - Chile has sealed a long-awaited deal with Europe's bi… [+2525 chars]",neutral,0.01,0.99,0.0,neutral,0.0,0.99,0.01,True,English,"['Reuters', 'REUTERS', 'Reuters']","['corporate bond market', 'Chile wins', 'Euroclear access', 'EXCLUSIVE', 'Reuters', 'financial district', 'stock exchange', 'Ivan Alvarado', 'Men', 'Santiago', 'REUTERS', 'FilesLONDON', 'Chile', 'deal', 'Europe', 'bi', '2525 chars']",2021-07-02,reuters.com,Euroclear
Euroclear,0,PyNews API,https://finance.yahoo.com/news/exclusive-chile-wins-euroclear-access-075632056.html,Exclusive: Chile wins Euroclear access for corporate bond market,Chile has sealed a long-awaited deal with Europe's biggest securities settlement house Euroclear to include the country's corporate bonds on the firm's...,By Marc Jones,,,,,,,,,,,,,,,
LONDON (Reuters) - Chile has sealed a long-awaited deal with Europe's biggest securities settlement house Euroclear to include the country's corporate bonds on the firm's international… [+2339 chars],neutral,0.04,0.96,0.0,neutral,0.0,1.0,0.0,True,English,"['Euroclear', 'Reuters', 'Euroclear']","['corporate bond market', 'Chile wins', 'Euroclear access', 'biggest securities settlement house Euroclear', 'Marc Jones', 'awaited deal', 'corporate bonds', 'LONDON', 'Reuters', 'Chile', 'Europe', 'country', 'firm', 'international', '2339 chars']",2021-07-02,finance.yahoo.com,Euroclear,,,,,,
Euroclear,0,PyNews API,https://www.reuters.com/article/us-chile-euroclear-idUSKCN2E80NX,Exclusive: Chile wins Euroclear access for corporate bond market,Chile has sealed a long-awaited deal with Europe's biggest securities settlement house Euroclear to include the country's corporate bonds on the firm's international investor platform.,LONDON (Reuters) - Chile has sealed a long-awaited deal with Europes biggest securities settlement house Euroclear to include the countrys corporate bonds on the firms international investor platform… [+2335 chars],neutral,0.04,0.96,0.0,neutral,0.0,1.0,0.0,True,English,"['Euroclear', 'Reuters', 'Euroclear']","['corporate bond market', 'Chile wins', 'Euroclear access', 'biggest securities settlement house Euroclear', 'countrys corporate bonds', 'international investor platform', 'LONDON', 'Reuters', 'Chile', 'awaited', 'deal', 'Europes', 'firms', '2335 chars']",2021-07-02,reuters.com,Euroclear
Euroclear,0,Bing API,https://fr.finance.yahoo.com/news/exclusive-chile-wins-euroclear-access-075632976.html,Exclusive: Chile wins Euroclear access for corporate bond market,Chile has sealed a long-awaited deal with Europe's biggest securities settlement house Euroclear to include the country's corporate bonds on the firm's international investor platform. Chile's governm,Chile has sealed a long-awaited deal with Europe's biggest securities settlement house Euroclear to include the country's corporate bonds on the firm's international investor platform. Chile's governm,neutral,0.04,0.96,0.0,neutral,0.01,0.98,0.01,True,English,"['Euroclear', 'Euroclear']","['corporate bond market', 'Chile wins', 'Euroclear access', 'biggest securities settlement house Euroclear', 'international investor platform', 'corporate bonds', 'Chile', 'deal', 'Europe', 'country', 'firm', 'governm']",2021-07-02,fr.finance.yahoo.com,Euroclear
Euroclear,0,Twitter,Twitter,Kingsman International Group: Chile wins Euroclear access for corporate bond market,,Kingsman International Group: Chile wins Euroclear access for corporate bond market,neutral,0.04,0.96,0.0,neutral,0.04,0.96,0.0,True,English,"['Kingsman International Group', 'Euroclear', 'Kingsman International Group', 'Euroclear']","['Kingsman International Group', 'corporate bond market', 'Chile wins', 'Euroclear access', 'Kingsman International Group', 'corporate bond market', 'Chile wins', 'Euroclear access']",2021-07-04,Unknown,Euroclear
Euroclear,0,Twitter,Twitter,Exclusive: Chile wins Euroclear access for corporate bond market,,Exclusive: Chile wins Euroclear access for corporate bond market,neutral,0.04,0.96,0.0,neutral,0.04,0.96,0.0,True,English,"['Euroclear', 'Euroclear']","['corporate bond\xa0market', 'Chile wins', 'Euroclear access', 'corporate bond\xa0market', 'Chile wins', 'Euroclear access']",2021-07-03,Unknown,Euroclear
Euroclear,0,Twitter,Twitter,Euroclear is THE international financial market infrastructure  FMI that connects bidirectionally investors and iss…,,Euroclear is THE international financial market infrastructure  FMI that connects bidirectionally investors and iss…,neutral,0.01,0.97,0.02,neutral,0.01,0.97,0.02,True,English,"['Euroclear', 'FMI', 'Euroclear', 'FMI']","['international financial market infrastructure  FMI', 'Euroclear', 'investors', 'international financial market infrastructure  FMI', 'Euroclear', 'investors']",2021-07-02,Unknown,Euroclear
Euroclear,0,Twitter,Twitter,EXCLUSIVE Chile wins Euroclear access for corporate bond market,,EXCLUSIVE Chile wins Euroclear access for corporate bond market,neutral,0.04,0.96,0.0,neutral,0.04,0.96,0.0,True,English,"['Euroclear', 'Euroclear']","['corporate bond market', 'Euroclear access', 'EXCLUSIVE', 'Chile', 'corporate bond market', 'Euroclear access', 'EXCLUSIVE', 'Chile']",2021-07-02,Unknown,Euroclear
Euroclear,0,Twitter,Twitter,EXCLUSIVE Chile wins Euroclear access for corporate bond market,,EXCLUSIVE Chile wins Euroclear access for corporate bond market,neutral,0.04,0.96,0.0,neutral,0.04,0.96,0.0,True,English,"['Euroclear', 'Euroclear']","['corporate bond\xa0market', 'Euroclear access', 'EXCLUSIVE', 'Chile', 'corporate bond\xa0market', 'Euroclear access', 'EXCLUSIVE', 'Chile']",2021-07-02,Unknown,Euroclear
Euroclear,0,Twitter,Twitter,Exclusive: Chile wins Euroclear access for corporate bond market  marcjonesrtrs Simmoa Reuters,,Exclusive: Chile wins Euroclear access for corporate bond market  marcjonesrtrs Simmoa Reuters,neutral,0.01,0.99,0.0,neutral,0.01,0.99,0.0,True,English,"['Euroclear', 'Simmoa Reuters', 'Euroclear', 'Simmoa Reuters']","['corporate bond market  marcjonesrtrs', 'Chile wins', 'Euroclear access', 'Simmoa Reuters', 'corporate bond market  marcjonesrtrs', 'Chile wins', 'Euroclear access', 'Simmoa Reuters']",2021-07-02,Unknown,Euroclear
Euroclear,0,Twitter,Twitter,🇨🇱  Chile has sealed a long-awaited deal with Europe’s biggest securities settlement house Euroclear to include the…,,🇨🇱  Chile has sealed a long-awaited deal with Europe’s biggest securities settlement house Euroclear to include the…,neutral,0.03,0.96,0.01,neutral,0.03,0.96,0.01,True,English,"['Euroclear', 'Euroclear']","['biggest securities settlement house Euroclear', 'Chile', 'deal', 'Europe', 'biggest securities settlement house Euroclear', 'Chile', 'deal', 'Europe']",2021-07-02,Unknown,Euroclear
Euroclear,0,Twitter,Twitter,EXCLUSIVE Chile wins Euroclear access for corporate bond market,,EXCLUSIVE Chile wins Euroclear access for corporate bond market,neutral,0.04,0.96,0.0,neutral,0.04,0.96,0.0,True,English,"['Euroclear', 'Euroclear']","['corporate bond market', 'Euroclear access', 'EXCLUSIVE', 'Chile', 'corporate bond market', 'Euroclear access', 'EXCLUSIVE', 'Chile']",2021-07-02,Unknown,Euroclear
Euroclear,0,Twitter,Twitter,Exclusive: Chile wins Euroclear access for corporate bond market,,Exclusive: Chile wins Euroclear access for corporate bond market,neutral,0.04,0.96,0.0,neutral,0.04,0.96,0.0,True,English,"['Euroclear', 'Euroclear']","['corporate bond market', 'Chile wins', 'Euroclear access', 'corporate bond market', 'Chile wins', 'Euroclear access']",2021-07-02,Unknown,Euroclear
Euroclear,0,Twitter,Twitter,Exclusive: Chile wins Euroclear access for corporate bond market  Good source of…,,Exclusive: Chile wins Euroclear access for corporate bond market  Good source of…,positive,0.82,0.18,0.0,positive,0.82,0.18,0.0,True,English,"['Euroclear', 'Euroclear']","['corporate bond market', 'Chile wins', 'Euroclear access', 'Good source', 'corporate bond market', 'Chile wins', 'Euroclear access', 'Good source']",2021-07-02,Unknown,Euroclear
Clearstream,1,Google API,https://www.luxtimes.lu/en/business-finance/legal-action-clearstream-facing-500-million-claim-over-air-berlin-60d833fdde135b9236926be5,Clearstream facing €500 million claim over Air Berlin,The insolvency administrator of Air Berlin is set to sue Deutsche Börse subsidiary Clearstream to recover €497.8 million. The complaint was due to be filed with a ...,The insolvency administrator of Air Berlin is set to sue Deutsche Börse subsidiary Clearstream to recover €497.8 million. The complaint was due to be filed with a ...,neutral,0.01,0.94,0.05,negative,0.0,0.01,0.99,True,English,,,2021-06-27,luxtimes.lu,Euroclear
Clearstream,1,Google API,https://www.globalcustodian.com/clearstream-and-digital-asset-exploring-dlt-replacement-for-legacy-system/,Clearstream and Digital Asset exploring DLT replacement for ...,"Clearstream and Digital Asset exploring DLT replacement for legacy system. The major technology overhaul could mirror projects underway at the ASX and HKEX, ...","Clearstream and Digital Asset exploring DLT replacement for legacy system. The major technology overhaul could mirror projects underway at the ASX and HKEX, ...",positive,0.55,0.44,0.01,neutral,0.27,0.72,0.01,True,English,,,2021-07-01,globalcustodian.com,Euroclear
Clearstream,1,Google API,https://finance.yahoo.com/news/singapore-dbs-bank-enlists-nivaura-080000384.html,Singapore’s DBS Bank Enlists Nivaura’s ‘One-Click’ Blockchain Security Issuance,"... could be Clearstream or Ethereum. “The problem that we're solving for is not blockchain, it's a transaction orchestration problem,” Nivaura founder Avtar Sehra ...","... could be Clearstream or Ethereum. “The problem that we're solving for is not blockchain, it's a transaction orchestration problem,” Nivaura founder Avtar Sehra ...",neutral,0.26,0.72,0.02,negative,0.0,0.0,1.0,True,English,,,2021-06-28,finance.yahoo.com,Euroclear
Clearstream,1,Google API,https://manometcurrent.com/interventional-cardiology-peripheral-vascular-devices-market-2021-strategic-assessments-medtronic-william_cook-boston-scientific-biotronik/,Interventional Cardiology & Peripheral Vascular Devices ...,"... ENDOLOGIX, ORBUSNEICH MEDICAL, Curative medical devices, Angiomed, ClearStream, MINVASYS, Lepu, Terumo, Bioteq, Aesculap, CORDIS CASHEL, ...","... ENDOLOGIX, ORBUSNEICH MEDICAL, Curative medical devices, Angiomed, ClearStream, MINVASYS, Lepu, Terumo, Bioteq, Aesculap, CORDIS CASHEL, ...",neutral,0.01,0.99,0.0,neutral,0.0,1.0,0.0,True,English,,,2021-06-28,manometcurrent.com,Euroclear
Clearstream,1,Google API,https://redbankpulse.com/2021/07/26th-annual-clamfest-highlands/,26th Annual Clamfest in Highlands set to return this summer,"On Saturday, August 7th, the festival begins at noon, with classic rock favorites performed by Chris Turner and ClearStream at 1:00pm; finishing with Tim ...","On Saturday, August 7th, the festival begins at noon, with classic rock favorites performed by Chris Turner and ClearStream at 1:00pm; finishing with Tim ...",neutral,0.02,0.97,0.01,positive,0.83,0.17,0.0,True,English,,,2021-07-02,redbankpulse.com,Euroclear
Clearstream,1,Google API,https://www.mccourier.com/global-student-rfid-tracking-systems-market-2020-research-report-including-top-companies-by-2025-card-tec-pulse-seventeen-datalogic-spa-child-safety/,Global Student RFID Tracking Systems Market 2020 Research ...,"Card Tec, Pulse Seventeen, Datalogic SpA, Child Safety, Magnasoft Consulting India Pvt. Limited – Northstar, Coresonant Systems Pvt. Ltd., Clearstream, GAO ...","Card Tec, Pulse Seventeen, Datalogic SpA, Child Safety, Magnasoft Consulting India Pvt. Limited – Northstar, Coresonant Systems Pvt. Ltd., Clearstream, GAO ...",neutral,0.0,1.0,0.0,neutral,0.01,0.94,0.05,True,English,,,2021-06-29,mccourier.com,Euroclear
Clearstream,1,Twitter,Twitter,Antennasdirect Love my Clearstream 2V. Consistently get 20 channels indoors through concrete block walls. Dependin…,,Antennasdirect Love my Clearstream 2V. Consistently get 20 channels indoors through concrete block walls. Dependin…,positive,1.0,0.0,0.0,positive,1.0,0.0,0.0,True,English,,,2021-07-04,Unknown,Euroclear
Clearstream,1,Twitter,Twitter,"Jan Williams, Head of Global Markets at  Clearstream, says the current link enables Clearstream clients to settle t…",,"Jan Williams, Head of Global Markets at  Clearstream, says the current link enables Clearstream clients to settle t…",neutral,0.0,0.99,0.01,neutral,0.0,0.99,0.01,True,English,,,2021-07-03,Unknown,Euroclear
